Quarter,Time,Down,ToGo,Location,SEA,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Seahawks to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 73 yards, returned by Percy Harvin for 23 yards (tackle by Jeremiah Attaochu). Penalty on Jeron Johnson: Illegal Block Above the Waist, 7 yards",0.000,0.380
1,14:56,1,10,SEA 8,0,0,Russell Wilson pass complete short right to Zach Miller for 22 yards (tackle by Richard Marshall and Shareece Wright),-0.380,0.940
1,14:20,1,10,SEA 30,0,0,Marshawn Lynch up the middle for 5 yards (tackle by Sean Lissemore and Manti Te'o),0.940,1.070
1,13:35,2,5,SEA 35,0,0,Russell Wilson pass incomplete short middle intended for Ricardo Lockette,1.070,0.370
1,13:30,3,5,SEA 35,0,0,Russell Wilson pass complete deep left to Jermaine Kearse for 30 yards (tackle by Steve Williams). Penalty on Steve Williams: Defensive Pass Interference (Declined),0.370,3.250
1,13:07,1,10,SDG 35,0,0,Russell Wilson pass complete short right to Percy Harvin for 5 yards (tackle by Marcus Gilchrist),3.250,3.380
1,12:28,2,5,SDG 30,0,0,Robert Turbin up the middle for -3 yards (tackle by Melvin Ingram),3.380,2.280
1,11:49,3,8,SDG 33,0,0,Russell Wilson sacked by Dwight Freeney for -13 yards,2.280,0.200
1,11:04,4,21,SDG 46,0,0,"Jon Ryan punts 46 yards, touchback",0.200,-0.280
1,10:53,1,10,SDG 20,0,0,Philip Rivers pass complete short middle to Antonio Gates for 5 yards (tackle by Bobby Wagner),0.280,0.410
1,10:24,2,5,SDG 25,0,0,Ryan Mathews left tackle for 3 yards (tackle by Tony McDaniel),0.410,0.100
1,9:45,3,2,SDG 28,0,0,Philip Rivers pass complete short middle to Danny Woodhead for 3 yards (tackle by K.J. Wright),0.100,1.000
1,9:12,1,10,SDG 31,0,0,Ryan Mathews right end for 3 yards (tackle by Bobby Wagner and K.J. Wright),1.000,0.870
1,8:33,2,7,SDG 34,0,0,Philip Rivers pass complete short middle to Keenan Allen for 6 yards (tackle by Bobby Wagner),0.870,0.960
1,7:54,3,1,SDG 40,0,0,Philip Rivers pass complete short right to Ryan Mathews for 10 yards (tackle by Earl Thomas),0.960,2.260
1,7:09,1,10,,0,0,Ryan Mathews up the middle for 3 yards (tackle by Tony McDaniel and Bobby Wagner),2.260,2.120
1,6:36,2,7,SEA 47,0,0,Ryan Mathews up the middle for 6 yards (tackle by Byron Maxwell),2.120,2.210
1,5:57,3,1,SEA 41,0,0,Ryan Mathews up the middle for 2 yards (tackle by Byron Maxwell),2.210,2.980
1,5:18,1,10,SEA 39,0,0,Philip Rivers pass complete short middle to Danny Woodhead for 14 yards (tackle by Malcolm Smith and Earl Thomas),2.980,3.910
1,4:31,1,10,SEA 25,0,0,"Philip Rivers for no gain. Philip Rivers fumbles, recovered by Philip Rivers at SEA-24",3.910,3.500
1,3:46,2,9,SEA 24,0,0,Philip Rivers pass incomplete deep right intended for Eddie Royal,3.500,2.810
1,3:40,3,9,SEA 24,0,0,Philip Rivers sacked by Michael Bennett for -8 yards,2.810,1.240
1,3:00,4,17,SEA 32,0,3,Nick Novak 50 yard field goal good,1.240,3.000
1,3:00,,,SDG 35,0,3,"Nick Novak kicks off 64 yards, out of bounds",0.000,-1.600
1,2:52,1,10,SEA 40,0,3,Marshawn Lynch right end for 4 yards (tackle by Manti Te'o and Sean Lissemore),1.600,1.590
1,2:16,2,6,SEA 44,0,3,Russell Wilson pass complete short left to Doug Baldwin for 5 yards (tackle by Jason Verrett),1.590,1.550
1,1:37,3,1,SEA 49,6,3,"Percy Harvin left end for 51 yards, touchdown",1.550,7.000
1,1:37,,,SDG 2,7,3,Steven Hauschka kicks extra point good,0.000,0.000
1,1:37,,,SEA 35,7,3,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,1:27,1,10,SDG 20,7,3,Philip Rivers pass complete deep left to Antonio Gates for 20 yards (tackle by O'Brien Schofield),0.280,1.600
1,0:49,1,10,SDG 40,7,3,Philip Rivers pass complete short left to Ryan Mathews for 16 yards (tackle by Earl Thomas),1.600,2.650
1,0:24,1,10,SEA 44,7,3,"Philip Rivers pass complete short left to Donald Brown for 8 yards (tackle by Byron Maxwell). Donald Brown fumbles (forced by Byron Maxwell), ball out of bounds at SEA-36",2.650,3.190
Quarter,Time,Down,ToGo,Location,SEA,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,SEA 36,7,3,Danny Woodhead up the middle for 2 yards (tackle by Bobby Wagner and Michael Bennett),3.190,3.310
2,14:25,1,10,SEA 34,7,3,Philip Rivers pass complete short right to Eddie Royal for 14 yards (tackle by Byron Maxwell),3.310,4.240
2,13:38,1,10,SEA 20,7,3,Philip Rivers pass complete short right to Keenan Allen for 14 yards (tackle by Richard Sherman),4.240,5.830
2,12:52,1,6,SEA 6,7,3,"Ryan Mathews left end for 6 yards. Penalty on John Phillips: Offensive Holding, 10 yards (no play)",5.830,4.310
2,12:40,1,16,SEA 16,7,3,Philip Rivers for 4 yards (tackle by Bobby Wagner),4.310,3.860
2,12:17,2,12,SEA 12,7,3,"Philip Rivers pass incomplete short middle intended for Malcom Floyd. Penalty on Michael Bennett: Defensive Offside, 4 yards (no play)",3.860,4.570
2,12:11,2,8,SEA 8,7,3,Philip Rivers pass incomplete short right intended for Danny Woodhead (defended by Cliff Avril),4.570,3.580
2,12:11,3,8,SEA 8,7,9,"Philip Rivers pass complete short right to Antonio Gates for 8 yards, touchdown",3.580,7.000
2,12:11,,,SEA 2,7,10,Nick Novak kicks extra point good,0.000,0.000
2,12:11,,,SDG 35,7,10,"Nick Novak kicks off 73 yards, returned by Percy Harvin for 30 yards (tackle by Seyi Ajirotutu)",0.000,-0.410
2,12:01,1,10,SEA 22,7,10,Russell Wilson pass complete short left to Bryan Walters for no gain,0.410,-0.130
2,11:22,2,10,SEA 22,7,10,"Russell Wilson sacked by Melvin Ingram for -9 yards. Russell Wilson fumbles (forced by Melvin Ingram), recovered by Luke Willson at SEA-13",-0.130,-2.420
2,10:31,3,19,SEA 13,7,10,Marshawn Lynch up the middle for 5 yards (tackle by Melvin Ingram and Corey Liuget),-2.420,-2.240
2,9:58,4,14,SEA 18,7,10,"Jon Ryan punts 37 yards, out of bounds",-2.240,-1.930
2,9:48,1,10,SDG 45,7,10,"Ryan Mathews right end for -7 yards. Ryan Mathews fumbles, recovered by Ryan Mathews at SDG-38",1.930,0.440
2,9:06,2,17,SDG 38,7,10,Philip Rivers pass complete short right to Keenan Allen for 12 yards (tackle by Richard Sherman),0.440,1.360
2,8:21,3,5,,7,10,Philip Rivers pass complete short right to Keenan Allen for 12 yards (tackle by Kam Chancellor),1.360,3.050
2,7:48,1,10,SEA 38,7,10,Philip Rivers up the middle for 2 yards (tackle by Bobby Wagner),3.050,2.780
2,7:11,2,8,SEA 36,7,10,Danny Woodhead up the middle for 6 yards (tackle by Bobby Wagner and Michael Bennett),2.780,2.870
2,6:32,3,2,SEA 30,7,10,Philip Rivers pass complete short middle to Danny Woodhead for 4 yards (tackle by K.J. Wright),2.870,3.840
2,5:59,1,10,SEA 26,7,10,"Donald Brown right tackle for no gain (tackle by O'Brien Schofield). Penalty on Rich Ohrnberger: Offensive Holding, 10 yards (no play)",3.840,3.180
2,5:28,1,20,SEA 36,7,10,Philip Rivers pass incomplete short right intended for Malcom Floyd,3.180,1.950
2,5:20,2,20,SEA 36,7,10,Philip Rivers pass complete short left to Eddie Royal for 12 yards (tackle by Earl Thomas),1.950,2.870
2,4:49,3,8,SEA 24,7,10,Philip Rivers pass incomplete deep left intended for Keenan Allen,2.870,1.870
2,4:44,4,8,SEA 24,7,13,Nick Novak 43 yard field goal good,1.870,3.000
2,4:44,,,SDG 35,7,13,"Nick Novak kicks off 53 yards, returned by Percy Harvin for 15 yards (tackle by Kavell Conner). Percy Harvin fumbles, recovered by Darrell Stuckey at SEA-28",0.000,3.710
2,4:34,1,10,SEA 28,7,13,Danny Woodhead up the middle for 13 yards (tackle by Marcus Burley),3.710,4.580
2,4:03,1,10,SEA 15,7,13,Danny Woodhead up the middle for 5 yards (tackle by Kam Chancellor and Malcolm Smith),4.580,4.840
2,3:30,2,5,SEA 10,7,13,Philip Rivers pass complete short left to Danny Woodhead for 7 yards (tackle by Earl Thomas),4.840,6.510
2,2:45,1,3,SEA 3,7,13,"Ryan Mathews right end for no gain. Penalty on Seyi Ajirotutu: Illegal Use of Hands, 10 yards (no play)",6.510,4.530
2,2:17,1,13,SEA 13,7,13,"Philip Rivers pass incomplete short right intended for Keenan Allen. Penalty on Johnnie Troutman: Offensive Holding, 10 yards (no play)",4.530,4.040
2,2:05,1,23,SEA 23,7,13,Donald Brown up the middle for no gain (tackle by Kevin Williams),4.040,2.600
2,2:00,2,23,SEA 23,7,13,Philip Rivers pass complete short right to Eddie Royal for 15 yards (tackle by Bobby Wagner),2.600,2.600
2,1:11,2,23,SEA 23,7,13,Timeout #1 by San Diego Chargers,2.600,3.580
2,1:11,3,8,SEA 8,7,19,"Philip Rivers pass complete short right to Antonio Gates for 8 yards, touchdown. Penalty on Malcolm Smith: Defensive Holding (Declined)",3.580,7.000
2,1:11,,,SEA 2,7,20,Nick Novak kicks extra point good,0.000,0.000
2,1:11,,,SDG 35,7,20,"Nick Novak kicks off 38 yards, returned by Luke Willson for 4 yards (tackle by Reggie Walker)",0.000,-1.000
2,1:01,1,10,SEA 31,7,20,Russell Wilson pass complete deep right to Doug Baldwin for 16 yards (tackle by Jason Verrett),1.000,1.000
2,0:55,1,10,SEA 31,7,20,Timeout #1 by Seattle Seahawks,1.000,2.060
2,0:55,1,10,SEA 47,7,20,Russell Wilson pass complete short left to Robert Turbin for 32 yards (tackle by Shareece Wright and Eric Weddle),2.060,2.060
2,0:43,1,10,SEA 47,7,20,Timeout #2 by Seattle Seahawks,2.060,4.170
2,0:43,1,10,SDG 21,7,20,Robert Turbin up the middle for 10 yards (tackle by Eric Weddle),4.170,4.840
2,0:26,1,10,SDG 11,7,20,"Russell Wilson right end for 5 yards (tackle by Donald Butler). Penalty on Shareece Wright: Defensive Holding, 3 yards",4.840,6.510
2,0:16,1,3,SDG 3,13,20,"Russell Wilson pass complete short right to Robert Turbin for 3 yards, touchdown",6.510,7.000
2,0:16,,,SDG 2,14,20,Steven Hauschka kicks extra point good,0.000,0.000
2,0:16,,,SEA 35,14,20,Steven Hauschka kicks off 35 yards,0.000,-0.940
2,0:12,1,10,SDG 30,14,20,Philip Rivers kneels for -2 yards,0.940,0.120
Quarter,Time,Down,ToGo,Location,SEA,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,14,20,"Steven Hauschka kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,SDG 20,14,20,Ryan Mathews up the middle for 1 yard (tackle by Malcolm Smith),0.280,-0.130
3,14:24,2,9,SDG 21,14,20,Philip Rivers pass complete short right to Eddie Royal for 3 yards (tackle by Richard Sherman),-0.130,-0.430
3,13:46,3,6,SDG 24,14,20,"Philip Rivers sacked by Bobby Wagner for -4 yards. Penalty on Malcolm Smith: Defensive Holding, 5 yards (no play)",-0.430,0.870
