Unnamed: 0,SEA,SDG
First Downs,14,26
Rush-Yds-TDs,13-108-1,37-101-0
Cmp-Att-Yd-TD-INT,17-25-202-2-0,28-37-284-3-0
Sacked-Yards,2-22,1-8
Net Pass Yards,180,276
Total Yards,288,377
Fumbles-Lost,2-1,4-0
Turnovers,1,0
Penalties-Yards,8-53,6-53
Third Down Conv.,3-8,10-17
Fourth Down Conv.,0-1,0-0
Time of Possession,17:45,42:15
