Quarter,Time,Tm,Detail,DEN,CIN
1.0,7:55,Broncos,Matt Prater 43 yard field goal,3,0
2.0,14:12,Bengals,Mike Nugent 28 yard field goal,3,3
,10:15,Broncos,Eric Decker 13 yard pass from Peyton Manning (Matt Prater kick),10,3
3.0,14:49,Broncos,Trindon Holliday 105 yard kickoff return (Matt Prater kick),17,3
,11:33,Bengals,A.J. Green 10 yard pass from Andy Dalton (Mike Nugent kick),17,10
,1:17,Bengals,Mike Nugent 49 yard field goal,17,13
4.0,14:10,Bengals,BenJarvus Green-Ellis 2 yard rush (Mike Nugent kick),17,20
,11:47,Broncos,Joel Dreessen 1 yard pass from Peyton Manning (Matt Prater kick),24,20
,3:36,Broncos,Eric Decker 4 yard pass from Peyton Manning (Matt Prater kick),31,20
,0:52,Bengals,Mike Nugent 41 yard field goal,31,23
