Unnamed: 0,DEN,CIN
First Downs,20,22
Rush-Yds-TDs,26-68-0,25-91-1
Cmp-Att-Yd-TD-INT,27-35-291-3-2,26-42-299-1-1
Sacked-Yards,0-0,5-24
Net Pass Yards,291,275
Total Yards,359,366
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,5-29,8-83
Third Down Conv.,9-14,5-14
Fourth Down Conv.,0-0,1-1
Time of Possession,30:37,29:23
