Quarter,Time,Tm,Detail,MIA,DEN
1.0,10:08,Dolphins,DeVante Parker 3 yard pass from Tua Tagovailoa (Jason Sanders kick),7,0
,1:34,Broncos,Melvin Gordon 1 yard rush (Brandon McManus kick),7,7
2.0,9:55,Broncos,Brandon McManus 29 yard field goal,7,10
,2:34,Dolphins,Jason Sanders 41 yard field goal,10,10
,0:00,Broncos,Brandon McManus 47 yard field goal,10,13
3.0,2:31,Broncos,Melvin Gordon 20 yard rush (Brandon McManus kick),10,20
4.0,7:51,Dolphins,Jason Sanders 53 yard field goal,13,20
