Unnamed: 0,NYG,BUF
First Downs,19,14
Rush-Yds-TDs,28-92-0,24-55-0
Cmp-Att-Yd-TD-INT,20-35-212-3-1,28-42-274-1-1
Sacked-Yards,1-1,2-16
Net Pass Yards,211,258
Total Yards,303,313
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,11-85,17-135
Third Down Conv.,3-15,3-16
Fourth Down Conv.,0-0,1-3
Time of Possession,30:33,29:27
