Quarter,Time,Tm,Detail,CHI,DET
1,4:11,Lions,Jason Hanson 32 yard field goal,0,3
2,9:29,Bears,Muhsin Muhammad 23 yard pass from Kyle Orton (Robbie Gould kick),7,3
,1:51,Bears,Robbie Gould 38 yard field goal,10,3
,0:17,Bears,Robbie Gould 20 yard field goal,13,3
3,3:15,Lions,Kevin Jones 6 yard rush (Jason Hanson kick),13,10
4,13:20,Lions,Jason Hanson 30 yard field goal,13,13
OT,8:43,Bears,Charles Tillman 22 yard interception return,19,13
