Unnamed: 0,CHI,DET
First Downs,14,17
Rush-Yds-TDs,29-115-0,29-93-1
Cmp-Att-Yd-TD-INT,17-31-230-1-0,23-35-197-0-1
Sacked-Yards,2-12,2-12
Net Pass Yards,218,185
Total Yards,333,278
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,10-75,5-40
Third Down Conv.,3-14,5-17
Fourth Down Conv.,1-1,0-0
Time of Possession,30:22,35:55
