Quarter,Time,Tm,Detail,CIN,TAM
1.0,6:06,Buccaneers,Ryan Succop 21 yard field goal,0,3
2.0,14:11,Buccaneers,Russell Gage 1 yard pass from Tom Brady (Ryan Succop kick),0,10
,1:39,Buccaneers,Chris Godwin 5 yard pass from Tom Brady (Ryan Succop kick),0,17
,0:00,Bengals,Evan McPherson 41 yard field goal,3,17
3.0,12:04,Bengals,Evan McPherson 21 yard field goal,6,17
,5:42,Bengals,Tee Higgins 5 yard pass from Joe Burrow (pass failed),12,17
,2:40,Bengals,Tyler Boyd 3 yard pass from Joe Burrow (Tee Higgins pass from Joe Burrow),20,17
4.0,12:45,Bengals,Ja'Marr Chase 8 yard pass from Joe Burrow (Evan McPherson kick),27,17
,2:21,Bengals,Mitchell Wilcox 12 yard pass from Joe Burrow (Evan McPherson kick),34,17
,0:49,Buccaneers,Russell Gage 5 yard pass from Tom Brady (pass failed),34,23
