Unnamed: 0,CIN,TAM
First Downs,20,25
Rush-Yds-TDs,21-53-0,25-92-0
Cmp-Att-Yd-TD-INT,27-39-200-4-1,30-44-312-3-2
Sacked-Yards,2-16,1-8
Net Pass Yards,184,304
Total Yards,237,396
Fumbles-Lost,1-0,3-2
Turnovers,1,4
Penalties-Yards,4-27,7-58
Third Down Conv.,5-13,4-12
Fourth Down Conv.,0-0,2-3
Time of Possession,29:25,30:35
