Quarter,Time,Down,ToGo,Location,CIN,TAM,Detail,EPB,EPA
1,3:58,1,10,TAM 41,0,3,"Tom Brady pass complete short middle to Mike Evans for 24 yards (tackle by Vonn Bell and Cam Taylor-Britt). Penalty on Chris Godwin: Illegal Blindside Block, 15 yards (accepted)",1.660,2.980
1,3:34,1,1,CIN 50,0,3,Leonard Fournette right tackle for 1 yard (tackle by Daxton Hill and Germaine Pratt),2.980,2.320
1,2:55,1,10,CIN 49,0,3,Tom Brady pass incomplete short right,2.320,1.780
1,2:51,2,10,CIN 49,0,3,Tom Brady pass complete short middle to Chris Godwin for 9 yards (tackle by Logan Wilson and Germaine Pratt),1.780,2.280
1,2:07,3,1,CIN 40,0,3,Tom Brady pass incomplete short left intended for Mike Evans,2.280,0.590
1,2:03,4,1,CIN 40,0,3,"Tom Brady pass complete short right to Mike Evans for 7 yards (tackle by Eli Apple) CIN challenged the pass completion ruling, and the play was upheld.",0.590,3.380
1,1:29,1,10,CIN 33,0,3,Tom Brady pass complete deep right to Mike Evans for 24 yards (tackle by Jessie Bates),3.380,5.140
1,0:45,1,9,CIN 9,0,3,Leonard Fournette right tackle for 4 yards (tackle by Germaine Pratt),5.140,5.150
1,0:03,2,5,CIN 5,0,3,"Chris Godwin right end for no gain (tackle by Logan Wilson and Germaine Pratt). Penalty on Germaine Pratt: Defensive Offside, 2 yards (accepted) (no play)",5.150,5.530
Quarter,Time,Down,ToGo,Location,CIN,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,CIN 3,0,3,Leonard Fournette up the middle for 2 yards (tackle by D.J. Reader and Josh Tupou),5.530,5.170
2,14:24,3,1,CIN 1,0,3,Tom Brady pass incomplete short right intended for Russell Gage (defended by Germaine Pratt),5.170,3.550
2,14:17,4,1,CIN 1,0,9,"Tom Brady pass complete to Russell Gage for 1 yard, touchdown",3.550,7.000
2,14:11,,,CIN 15,0,10,Ryan Succop kicks extra point good,0.000,0.000
2,14:11,,,TAM 35,0,10,"Jake Camarda kicks off 63 yards, returned by Trayveon Williams for 20 yards (tackle by K.J. Britt and Ke'Shawn Vaughn)",0.000,0.410
2,14:07,1,10,CIN 22,0,10,"Joe Burrow sacked by Lavonte David for -10 yards. Joe Burrow fumbles (forced by Lavonte David), recovered by Joe Burrow at CIN-12",0.410,-1.510
2,13:30,2,20,CIN 12,0,10,Joe Burrow pass complete short left to Joe Mixon for 4 yards (tackle by Anthony Nelson),-1.510,-1.870
2,12:47,3,16,CIN 16,0,10,Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Antoine Winfield),-1.870,-2.390
2,12:41,4,16,CIN 16,0,10,"Drue Chrisman punts 53 yards, returned by Deven Thompkins for 5 yards (tackle by Akeem Davis-Gaither and Stanley Morgan)",-2.390,-1.330
2,12:27,1,10,TAM 36,0,10,Deven Thompkins right end for 9 yards (tackle by Eli Apple),1.330,2.010
2,11:43,2,1,TAM 45,0,10,Rachaad White up the middle for 4 yards (tackle by Logan Wilson and Jeff Gunter),2.010,2.190
2,11:06,1,10,TAM 49,0,10,"Penalty on Mike Evans: False Start, 5 yards (accepted) (no play)",2.190,1.860
2,10:50,1,15,TAM 44,0,10,Rachaad White up the middle for 5 yards (tackle by Logan Wilson and B.J. Hill),1.860,1.650
2,10:17,2,10,TAM 49,0,10,Tom Brady pass complete short right to Mike Evans for 12 yards (tackle by Eli Apple),1.650,2.980
2,9:30,1,10,CIN 39,0,10,Rachaad White up the middle for 3 yards (tackle by Cameron Sample),2.980,2.850
2,8:52,2,7,CIN 36,0,10,Tom Brady pass complete short right to Cameron Brate for 4 yards (tackle by B.J. Hill),2.850,2.680
2,8:08,3,3,CIN 32,0,10,Tom Brady pass incomplete deep right intended for Cameron Brate (defended by Tre Flowers),2.680,1.290
2,8:03,4,3,CIN 32,0,10,Ryan Succop 50 yard field goal no good,1.290,-1.600
2,7:58,1,10,CIN 40,0,10,Samaje Perine up the middle for 4 yards (tackle by Rakeem Nunez-Roches and Mike Edwards),1.600,1.590
2,7:24,2,6,CIN 44,0,10,Samaje Perine right tackle for 3 yards (tackle by Lavonte David),1.590,1.290
2,6:41,3,3,CIN 47,0,10,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Carlton Davis),1.290,-0.260
2,6:36,4,3,CIN 47,0,10,"Drue Chrisman punts 38 yards, fair catch by Deven Thompkins at TB-15",-0.260,0.220
2,6:30,1,10,TAM 15,0,10,Leonard Fournette up the middle for 7 yards (tackle by Daxton Hill),-0.220,0.350
2,6:00,2,3,TAM 22,0,10,Leonard Fournette up the middle for 6 yards (tackle by Germaine Pratt and Zachary Carter),0.350,0.810
2,5:15,1,10,TAM 28,0,10,Leonard Fournette right guard for 3 yards (tackle by Eli Apple and Logan Wilson),0.810,0.670
2,4:39,2,7,TAM 31,0,10,Tom Brady pass complete short middle to Chris Godwin for 15 yards (tackle by Daxton Hill),0.670,1.990
2,3:57,1,10,TAM 46,0,10,Tom Brady pass complete short middle to Leonard Fournette for 5 yards (tackle by Logan Wilson),1.990,2.130
2,3:17,2,5,CIN 49,0,10,Leonard Fournette up the middle for 3 yards (tackle by B.J. Hill),2.130,1.820
2,2:35,3,2,CIN 46,0,10,Tom Brady pass complete short left to Leonard Fournette for 12 yards (tackle by Logan Wilson),1.820,3.310
2,2:00,1,10,CIN 34,0,10,Tom Brady pass complete short middle to Chris Godwin for 18 yards (tackle by Eli Apple and Jessie Bates),3.310,4.510
2,1:48,,,,,,Timeout #2 by Cincinnati Bengals,,
2,1:48,1,10,CIN 16,0,10,Tom Brady pass complete short right to Chris Godwin for 11 yards (tackle by Logan Wilson),4.510,6.060
2,1:43,,,,,,Timeout #3 by Cincinnati Bengals,,
2,1:43,1,5,CIN 5,0,16,"Tom Brady pass complete to Chris Godwin for 5 yards, touchdown",6.060,7.000
2,1:39,,,CIN 15,0,17,Ryan Succop kicks extra point good,0.000,0.000
2,1:39,,,TAM 35,0,17,"Jake Camarda kicks off 63 yards, returned by Trayveon Williams for 28 yards (tackle by Sean Murphy-Bunting)",0.000,0.940
2,1:33,1,10,CIN 30,0,17,Joe Burrow pass complete short right to Ja'Marr Chase for 9 yards (tackle by Antoine Winfield),0.940,1.610
2,1:15,2,1,CIN 39,0,17,Joe Burrow pass complete short left to Tyler Boyd for 10 yards (tackle by Antoine Winfield),1.610,2.190
2,0:57,1,10,CIN 49,0,17,Joe Burrow pass complete short middle to Ja'Marr Chase for 15 yards (tackle by Carlton Davis),2.190,3.180
2,0:37,1,10,TAM 36,0,17,Joe Burrow pass complete short right to Tyler Boyd for 13 yards (tackle by Antoine Winfield),3.180,4.040
2,0:18,1,10,TAM 23,0,17,Joe Burrow pass complete short right to Samaje Perine for no gain (tackle by Lavonte David and Devin White),4.040,3.570
2,0:04,2,9,TAM 23,0,17,Joe Burrow spiked the ball,3.570,2.870
2,0:03,3,9,TAM 23,3,17,Evan McPherson 41 yard field goal good,2.870,3.000
Quarter,Time,Down,ToGo,Location,CIN,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CIN 35,3,17,"Evan McPherson kicks off 68 yards, returned by Deven Thompkins for 20 yards (tackle by Stanley Morgan)",0.000,-0.060
3,14:56,1,10,TAM 17,3,17,Rachaad White right tackle for 4 yards (tackle by Eli Apple and Germaine Pratt),-0.060,0.080
3,14:19,2,6,TAM 21,3,17,Tom Brady pass incomplete deep right intended for Mike Evans,0.080,-0.750
3,14:14,3,6,TAM 21,3,17,Tom Brady pass complete short right to Rachaad White for 5 yards (tackle by B.J. Hill and Vonn Bell),-0.750,-1.630
3,13:34,4,1,TAM 26,3,17,"Giovani Bernard aborted snap, recovered by Giovani Bernard at TB-16 Giovani Bernard for no gain (tackle by Markus Bailey)",-1.630,-4.510
3,13:31,1,10,TAM 16,3,17,Joe Burrow scrambles left end for 10 yards (tackle by Dee Delaney),4.510,5.830
3,12:56,1,6,TAM 6,3,17,Joe Mixon right guard for 3 yards (tackle by Keanu Neal and Sean Murphy-Bunting),5.830,5.530
3,12:16,2,3,TAM 3,3,17,Joe Burrow pass incomplete short right intended for Trenton Irwin (defended by Logan Ryan),5.530,4.720
3,12:12,3,3,TAM 3,3,17,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Carlton Davis),4.720,3.040
3,12:08,4,3,TAM 3,6,17,Evan McPherson 21 yard field goal good,3.040,3.000
3,12:04,,,CIN 35,6,17,"Evan McPherson kicks off 63 yards, returned by Deven Thompkins for 6 yards (tackle by Chris Evans and Joe Bachie)",0.000,-0.380
3,11:55,1,10,TAM 8,6,17,Leonard Fournette up the middle for 4 yards (tackle by Josh Tupou),-0.380,-0.490
3,11:25,2,6,TAM 12,6,17,Tom Brady pass complete short middle to Leonard Fournette for 9 yards (tackle by Cameron Sample and Germaine Pratt),-0.490,0.340
3,10:49,1,10,TAM 21,6,17,"Leonard Fournette left end for no gain (tackle by Jessie Bates). Penalty on Ko Kieft: Offensive Holding, 11 yards (accepted) (no play)",0.340,-0.800
3,10:32,1,21,TAM 10,6,17,Tom Brady pass incomplete short right intended for Russell Gage (defended by Eli Apple),-0.800,-1.580
3,10:28,2,21,TAM 10,6,17,Tom Brady pass complete short middle to Chris Godwin for 13 yards (tackle by Joseph Ossai),-1.580,-0.630
3,9:42,3,8,TAM 23,6,17,Tom Brady pass short right intended for Cameron Brate is intercepted by Tre Flowers at TB-31 and returned for no gain (tackle by Cameron Brate),-0.630,-3.510
3,9:36,1,10,TAM 31,6,17,Joe Burrow pass complete short right to Tyler Boyd for 6 yards (tackle by Dee Delaney),3.510,3.780
3,9:03,2,4,TAM 25,6,17,Joe Mixon right guard for 1 yard (tackle by Anthony Nelson and Akiem Hicks),3.780,3.200
3,8:19,3,3,TAM 24,6,17,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,3.200,1.970
3,8:14,4,3,TAM 24,6,17,"Joe Burrow sacked by and Devin White for no gain and Anthony Nelson for no gain. Penalty on Lavonte David: Defensive Holding, 5 yards (accepted) (no play)",1.970,4.310
3,8:04,1,10,TAM 19,6,17,Joe Mixon left end for 4 yards (tackle by Carlton Davis),4.310,4.350
3,7:27,2,6,TAM 15,6,17,"Penalty on Jonah Williams: False Start, 5 yards (accepted) (no play)",4.350,3.630
3,7:06,2,11,TAM 20,6,17,Joe Burrow pass complete short left to Mitchell Wilcox for 3 yards (tackle by Mike Edwards),3.630,3.260
3,6:19,3,8,TAM 17,6,17,Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Carlton Davis and Logan Ryan),3.260,2.910
3,6:12,4,1,TAM 10,6,17,"Penalty on Carlton Davis: Face Mask (15 Yards), 5 yards (accepted) (no play)",2.910,6.060
3,5:47,1,5,TAM 5,12,17,"Joe Burrow pass complete short right to Tee Higgins for 5 yards, touchdown",6.060,7.000
3,5:42,,,,,,Timeout #1 by Cincinnati Bengals,,
3,5:42,,,TAM 2,12,17,Two Point Attempt: Joe Burrow pass incomplete,1.000,-1.000
3,5:42,,,CIN 35,12,17,"Evan McPherson kicks off 66 yards, returned by Deven Thompkins for 22 yards (tackle by Clay Johnston and Joe Bachie)",0.000,0.340
3,5:37,1,10,TAM 21,12,17,Rachaad White right end for no gain (tackle by Daxton Hill),0.340,-0.200
3,5:12,2,10,TAM 21,12,17,Tom Brady pass incomplete short middle intended for Russell Gage,-0.200,-0.890
3,5:06,3,10,TAM 21,12,17,"Tom Brady sacked by Logan Wilson for -8 yards. Tom Brady fumbles (forced by D.J. Reader), recovered by Joseph Ossai at TB-12",-0.890,-4.710
3,4:56,1,10,TAM 13,12,17,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards (tackle by Carlton Davis),4.710,5.540
3,4:12,2,2,TAM 5,12,17,Samaje Perine up the middle for 2 yards (tackle by Rakeem Nunez-Roches),5.540,6.510
3,3:27,1,3,TAM 3,12,17,Joe Burrow pass incomplete short middle intended for Joe Mixon (defended by Joe Tryon-Shoyinka),6.510,5.530
3,3:24,2,3,TAM 3,12,17,Joe Mixon left tackle for no gain (tackle by William Gholston),5.530,4.720
3,2:44,3,3,TAM 3,18,17,"Joe Burrow pass complete short right to Tyler Boyd for 3 yards, touchdown",4.720,7.000
3,2:40,,,TAM 2,20,17,Two Point Attempt: Joe Burrow pass complete to to Tee Higgins for no gain,1.000,1.000
3,2:40,,,CIN 35,20,17,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,2:40,1,10,TAM 25,20,17,Tom Brady pass complete short left to Chris Godwin for 7 yards (tackle by Germaine Pratt),0.610,1.010
3,2:09,2,3,TAM 32,20,17,Leonard Fournette right guard for 6 yards (tackle by B.J. Hill and Germaine Pratt),1.010,1.470
3,1:31,1,10,TAM 38,20,17,"Tom Brady aborted snap, recovered by D.J. Reader at TB-39",1.470,-2.980
3,1:18,1,10,TAM 39,20,17,Joe Burrow pass incomplete deep right intended for Tee Higgins (defended by Sean Murphy-Bunting),2.980,2.440
3,1:13,2,10,TAM 39,20,17,Joe Burrow pass complete short middle to Joe Mixon for 2 yards (tackle by Lavonte David),2.440,2.020
3,0:29,3,8,TAM 37,20,17,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards (tackle by Carlton Davis),2.020,3.640
Quarter,Time,Down,ToGo,Location,CIN,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,TAM 29,20,17,Joe Mixon right end for no gain (tackle by Lavonte David and Sean Murphy-Bunting),3.640,3.100
4,14:19,2,10,TAM 29,20,17,Joe Burrow pass incomplete short right intended for Tee Higgins,3.100,2.410
4,14:15,3,10,TAM 29,20,17,Joe Burrow pass complete short right to Mitchell Wilcox for 19 yards (tackle by Logan Ryan),2.410,4.910
4,13:35,1,10,TAM 10,20,17,Joe Mixon right end for 2 yards (tackle by Devin White and Keanu Neal),4.910,4.570
4,12:49,2,8,TAM 8,26,17,"Joe Burrow pass complete short left to Ja'Marr Chase for 8 yards, touchdown",4.570,7.000
4,12:45,,,TAM 15,27,17,Evan McPherson kicks extra point good,0.000,0.000
4,12:45,,,CIN 35,27,17,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,12:45,1,10,TAM 25,27,17,Tom Brady pass incomplete short middle intended for Mike Evans,0.610,0.060
4,12:38,2,10,TAM 25,27,17,Tom Brady pass complete short left to Russell Gage for 11 yards (tackle by Cam Taylor-Britt),0.060,1.330
4,12:17,1,10,TAM 36,27,17,"Tom Brady pass incomplete short left intended for Mike Evans. Penalty on Daxton Hill: Defensive Pass Interference, 15 yards (accepted) (no play)",1.330,2.320
4,12:13,1,10,CIN 49,27,17,"Leonard Fournette left tackle for no gain (tackle by Logan Wilson). Penalty on Nick Leverett: Offensive Holding, 10 yards (accepted) (no play)",2.320,1.660
4,11:54,1,20,TAM 41,27,17,Tom Brady pass short left (defended by Joseph Ossai) intended for Cameron Brate is intercepted by Germaine Pratt at CIN-47 and returned for no gain (tackle by Mike Evans),1.660,-2.060
4,11:46,1,10,CIN 47,27,17,Joe Burrow pass complete short right to Joe Mixon for 5 yards (tackle by Mike Edwards),2.060,2.190
4,11:06,2,5,TAM 48,27,17,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,2.190,1.490
4,11:02,,,,,,Timeout #2 by Cincinnati Bengals,,
4,11:02,3,5,TAM 48,27,17,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Carlton Davis),1.490,0.070
4,10:57,4,5,TAM 48,27,17,Drue Chrisman punts 46 yards out of bounds,0.070,0.380
4,10:50,1,10,TAM 2,27,17,Rachaad White up the middle for 3 yards (tackle by D.J. Reader and B.J. Hill),-0.380,-0.560
4,10:15,2,7,TAM 5,27,17,Tom Brady pass incomplete short middle intended for Rachaad White,-0.560,-1.070
4,10:12,3,7,TAM 5,27,17,Tom Brady pass complete short right to Russell Gage for 6 yards (tackle by Eli Apple and Akeem Davis-Gaither),-1.070,-2.490
4,9:26,4,1,TAM 11,27,17,"Jake Camarda punts 51 yards, fair catch by Trent Taylor at CIN-38",-2.490,-1.470
4,9:18,1,10,CIN 38,27,17,"Joe Mixon right tackle for no gain (tackle by Lavonte David). Penalty on Hakeem Adeniji: Illegal Formation, 5 yards (accepted) (no play)",1.470,1.140
4,8:53,1,15,CIN 33,27,17,Samaje Perine up the middle for 5 yards (tackle by Logan Ryan and Devin White),1.140,0.920
4,8:16,2,10,CIN 38,27,17,Joe Burrow pass complete short middle to Tee Higgins for 5 yards (tackle by Devin White and Lavonte David),0.920,0.890
4,7:26,,,,,,Timeout #3 by Cincinnati Bengals,,
4,7:26,3,5,CIN 43,27,17,Joe Burrow pass complete short left to Trenton Irwin for 5 yards (tackle by Lavonte David),0.890,2.130
4,6:39,1,10,CIN 48,27,17,Joe Mixon up the middle for 2 yards (tackle by Mike Edwards and Deadrin Senat),2.130,1.850
4,5:52,2,8,CIN 50,27,17,Joe Burrow pass complete short middle to Joe Mixon for 11 yards (tackle by Mike Edwards),1.850,2.980
4,5:07,1,10,TAM 39,27,17,Joe Mixon right end for 3 yards (tackle by Logan Ryan),2.980,2.850
4,4:25,2,7,TAM 36,27,17,Joe Burrow pass complete short right to Tee Higgins for 4 yards,2.850,2.680
4,4:21,3,3,TAM 32,27,17,Joe Burrow pass complete short left to Tyler Boyd for 3 yards (tackle by Dee Delaney),2.680,3.640
4,4:16,1,10,TAM 29,27,17,Samaje Perine right guard for 9 yards (tackle by Devin White and Logan Ryan),3.640,4.320
4,3:33,2,1,TAM 20,27,17,Samaje Perine right tackle for no gain (tackle by William Gholston),4.320,3.600
4,2:48,3,1,TAM 20,27,17,Joe Mixon up the middle for no gain (tackle by Lavonte David and Joe Tryon-Shoyinka),3.600,2.270
4,2:32,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,2:32,4,1,TAM 20,27,17,"Penalty on Rakeem Nunez-Roches: Encroachment, 7 yards (accepted) (no play)",2.270,4.710
4,2:31,1,10,TAM 13,27,17,Joe Mixon left tackle for 1 yard (tackle by William Gholston and Deadrin Senat),4.710,4.450
4,2:27,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,2:27,2,7,TAM 12,33,17,"Joe Burrow pass complete short right to Mitchell Wilcox for 12 yards, touchdown",4.450,7.000
4,2:21,,,TAM 15,34,17,Evan McPherson kicks extra point good,0.000,0.000
4,2:21,,,CIN 35,34,17,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,2:21,1,10,TAM 25,34,17,Tom Brady pass complete short middle to Leonard Fournette for 4 yards (tackle by Logan Wilson),0.610,0.600
4,2:06,2,6,TAM 29,34,17,Tom Brady pass complete short left to Russell Gage for 5 yards (tackle by Allan George and Logan Wilson),0.600,0.560
4,1:59,3,1,TAM 34,34,17,Leonard Fournette up the middle for 8 yards (tackle by Tre Flowers and Joseph Ossai),0.560,1.730
4,1:45,1,10,TAM 42,34,17,Tom Brady pass complete short left to Russell Gage for 11 yards (tackle by Allan George),1.730,2.460
4,1:26,1,10,CIN 47,34,17,Tom Brady pass complete short right to Deven Thompkins for 7 yards (tackle by Logan Wilson),2.460,2.860
4,1:09,2,3,CIN 40,34,17,"Tom Brady pass complete deep right to Cameron Brate for 21 yards (tackle by Logan Wilson) Penalty on CIN: Defensive Too Many Men on Field, 5 yards (declined)",2.860,4.310
4,1:02,1,10,CIN 19,34,17,Tom Brady pass complete short left to Russell Gage for 14 yards,4.310,6.060
4,0:57,1,5,CIN 5,34,17,Tom Brady pass incomplete short middle,6.060,5.150
4,0:52,2,5,CIN 5,34,23,"Tom Brady pass complete short right to Russell Gage for 5 yards, touchdown",5.150,7.000
4,0:49,,,CIN 2,34,23,Two Point Attempt: Tom Brady pass incomplete,1.000,-1.000
4,0:49,,,TAM 35,34,23,"Jake Camarda kicks onside 12 yards, returned by Trenton Irwin for no gain",0.000,2.460
4,0:48,1,10,TAM 47,34,23,Joe Burrow kneels for -1 yards,2.460,1.780
4,0:28,2,11,TAM 48,34,23,Joe Burrow kneels for -1 yards,1.780,0.960
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
