Quarter,Time,Tm,Detail,DET,MIN
1.0,9:53,Vikings,Latavius Murray 1 yard rush (Dan Bailey kick),0,7
2.0,13:16,Lions,Matt Prater 35 yard field goal,3,7
,4:45,Lions,Matt Prater 35 yard field goal,6,7
,3:20,Vikings,Adam Thielen 2 yard pass from Kirk Cousins (Dan Bailey kick),6,14
,0:04,Vikings,Dan Bailey 39 yard field goal,6,17
4.0,6:57,Vikings,Danielle Hunter 32 yard fumble return (Dan Bailey kick),6,24
,1:11,Lions,Matt Prater 37 yard field goal,9,24
