Unnamed: 0,DET,MIN
First Downs,18,17
Rush-Yds-TDs,24-66-0,23-128-1
Cmp-Att-Yd-TD-INT,25-36-199-0-0,18-22-164-1-1
Sacked-Yards,10-56,1-9
Net Pass Yards,143,155
Total Yards,209,283
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,8-66,3-15
Third Down Conv.,4-15,3-8
Fourth Down Conv.,3-3,1-1
Time of Possession,36:45,23:15
