Quarter,Time,Tm,Detail,BAL,HOU
1,3:17,Ravens,Willis McGahee 1 yard rush (Billy Cundiff kick),7,0
2,5:23,Ravens,Derrick Mason 9 yard pass from Joe Flacco (Billy Cundiff kick),14,0
,1:37,Ravens,Derrick Mason 26 yard pass from Joe Flacco (Billy Cundiff kick),21,0
,0:42,Texans,Andre Johnson 46 yard pass from Matt Schaub (Neil Rackers kick),21,7
3,14:45,Ravens,David Reed 103 yard kickoff return (Billy Cundiff kick),28,7
,7:08,Texans,Neil Rackers 24 yard field goal,28,10
,0:36,Texans,Neil Rackers 42 yard field goal,28,13
4,6:00,Texans,Jacoby Jones 7 yard pass from Matt Schaub (Neil Rackers kick),28,20
,0:21,Texans,Andre Johnson 5 yard pass from Matt Schaub (Jacoby Jones pass from Matt Schaub),28,28
OT,11:55,Ravens,Josh Wilson 12 yard interception return,34,28
