Unnamed: 0,BAL,HOU
First Downs,19,28
Rush-Yds-TDs,24-63-1,22-111-0
Cmp-Att-Yd-TD-INT,22-33-235-2-0,31-62-393-3-2
Sacked-Yards,5-45,2-15
Net Pass Yards,190,378
Total Yards,253,489
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,3-15,8-51
Third Down Conv.,8-15,7-18
Fourth Down Conv.,0-0,4-4
Time of Possession,31:18,31:47
