Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Micah Knorr kicks off 61 yards, returned by Cliff Russell for 17 yards (tackle by Roc Alexander)",0.000,0.670
1,14:56,1,10,CIN 26,0,0,Carson Palmer pass complete to Chad Ochocinco for 9 yards (tackle by Champ Bailey),0.670,1.350
1,14:18,2,1,CIN 35,0,0,Rudi Johnson right guard for 3 yards (tackle by Reggie Hayward),1.350,1.470
1,13:48,1,10,CIN 38,0,0,Rudi Johnson left end for 12 yards (tackle by Al Wilson),1.470,2.260
1,13:04,1,10,CIN 50,0,0,Rudi Johnson left guard for 5 yards (tackle by D.J. Williams),2.260,2.390
1,12:29,2,5,DEN 45,0,0,Carson Palmer pass incomplete intended for Chad Ochocinco,2.390,1.690
1,12:21,3,5,DEN 45,0,0,Carson Palmer pass incomplete intended for Chad Ochocinco,1.690,0.270
1,12:14,4,5,DEN 45,0,0,"Kyle Larson punts 33 yards. Penalty on Patrick Chukwurah: Illegal Block Above the Waist, 6 yards",0.270,0.380
1,12:02,1,10,DEN 6,0,0,Reuben Droughns left end for 3 yards (tackle by Caleb Miller and Kevin Hardy),-0.380,-0.560
1,11:28,2,7,DEN 9,0,0,Reuben Droughns right tackle for -2 yards (tackle by Duane Clemons),-0.560,-1.300
1,10:50,3,9,DEN 7,0,0,Jake Plummer pass complete to Ashley Lelie for 7 yards (tackle by Deltha O'Neal),-1.300,-2.470
1,10:08,4,2,DEN 14,0,0,"Micah Knorr punts 41 yards. Penalty on Donnie Spragan: Ineligible Downfield Kick, 5 yards (no play)",-2.470,-2.490
1,9:57,4,7,DEN 9,0,0,"Micah Knorr punts 36 yards, returned by Deltha O'Neal for 1 yard (tackle by D.J. Williams)",-2.490,-2.650
1,9:48,1,10,DEN 44,0,0,Rudi Johnson up the middle for 2 yards (tackle by D.J. Williams and Reggie Hayward),2.650,2.380
1,9:13,2,8,DEN 42,0,0,Cliff Russell left end for -8 yards (tackle by Kelly Herndon),2.380,0.630
1,8:34,3,16,CIN 50,0,6,"Carson Palmer pass complete to Chad Ochocinco for 50 yards, touchdown",0.630,7.000
1,,,,DEN 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,7,"Shayne Graham kicks off 48 yards, out of bounds",,
1,8:25,1,10,DEN 22,0,7,Jake Plummer pass incomplete intended for Ashley Lelie,0.410,-0.130
1,8:19,2,10,DEN 22,0,7,Reuben Droughns left tackle for 3 yards (tackle by Kim Herring),-0.130,-0.430
1,7:37,3,7,DEN 25,0,7,Jake Plummer pass complete to Reuben Droughns for no gain,-0.430,-1.700
1,6:58,4,7,DEN 25,0,7,"Micah Knorr punts 37 yards, returned by Deltha O'Neal for 17 yards (tackle by D.J. Williams)",-1.700,-2.590
1,6:47,1,10,DEN 45,0,7,"Carson Palmer pass incomplete intended for T.J. Houshmandzadeh. Penalty on Willie Middlebrooks: Defensive Pass Interference, 31 yards (no play)",2.590,4.650
1,6:39,1,10,DEN 14,0,7,Rudi Johnson right guard for -1 yards (tackle by Al Wilson and John Lynch),4.650,3.850
1,6:02,2,11,DEN 15,0,7,Rudi Johnson left guard for 3 yards (tackle by D.J. Williams),3.850,3.430
1,5:24,3,8,DEN 12,0,7,Carson Palmer pass complete to Chad Ochocinco for 7 yards (tackle by Champ Bailey),3.430,3.030
1,4:41,4,1,DEN 5,0,7,Rudi Johnson right guard for no gain (tackle by Kelly Herndon and Al Wilson),3.030,0.380
1,4:33,1,10,DEN 5,0,7,Jake Plummer pass incomplete intended for Ashley Lelie,-0.380,-0.780
,,,,,,,"CIN challenged the ruling, and the original play was overturned.",,
1,4:26,2,10,DEN 5,0,7,Reuben Droughns right guard for no gain (tackle by John Thornton and Justin Smith),-0.780,-1.420
1,3:47,3,10,DEN 5,0,7,Jake Plummer pass complete to Rod Smith for 15 yards,-1.420,0.280
1,3:18,1,10,DEN 20,0,7,Darius Watts right end for 10 yards (tackle by Deltha O'Neal and Brian Simmons),0.280,0.940
1,2:38,1,10,DEN 30,0,7,Jake Plummer pass incomplete intended for Rod Smith,0.940,0.390
1,2:30,2,10,DEN 30,0,7,Jake Plummer pass complete to Reuben Droughns for 9 yards (tackle by Justin Smith),0.390,0.890
1,2:03,3,1,DEN 39,0,7,Jake Plummer up the middle for 3 yards (tackle by Kevin Kaesviharn),0.890,1.730
1,1:25,1,10,DEN 42,0,7,Jake Plummer pass incomplete intended for Rod Smith,1.730,1.190
1,1:19,2,10,DEN 42,0,7,Reuben Droughns right tackle for 10 yards (tackle by Brian Simmons),1.190,2.390
1,0:45,1,10,CIN 48,0,7,Reuben Droughns left guard for 7 yards (tackle by Kevin Hardy),2.390,2.790
1,0:04,2,3,CIN 41,0,7,Reuben Droughns right tackle for 5 yards (tackle by Brian Simmons),2.790,3.180
Quarter,Time,Down,ToGo,Location,DEN,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CIN 36,0,7,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Kevin Kaesviharn),3.180,2.640
2,14:54,2,10,CIN 36,0,7,Reuben Droughns left tackle for 5 yards (tackle by John Thornton and Brian Simmons),2.640,2.610
2,14:13,3,5,CIN 31,0,7,Jake Plummer pass incomplete intended for Jeb Putzier (defended by John Thornton),2.610,1.350
2,14:09,4,5,CIN 31,0,7,Jason Elam 49 yard field goal no good,1.350,-1.530
2,14:04,1,10,CIN 39,0,7,"Penalty on Tony Stewart: False Start, 5 yards (no play)",1.530,1.200
2,14:04,1,15,CIN 34,0,7,Rudi Johnson right tackle for 5 yards (tackle by Al Wilson and Kenoy Kennedy),1.200,0.990
2,13:31,2,10,CIN 39,0,7,Carson Palmer pass complete to Chad Ochocinco for 50 yards (tackle by Champ Bailey),0.990,4.840
2,12:51,1,10,DEN 11,0,7,Rudi Johnson left tackle for 8 yards (tackle by Kenoy Kennedy),4.840,5.660
2,12:09,2,2,DEN 3,0,7,Rudi Johnson right tackle for -2 yards (tackle by Reggie Hayward),5.660,4.440
2,11:40,3,4,DEN 5,0,7,"Penalty on CIN: Illegal Substitution, 5 yards (no play)",4.440,3.300
2,11:16,3,9,DEN 10,0,7,Carson Palmer pass incomplete intended for Chad Ochocinco is intercepted by Champ Bailey at DEN-4,3.300,0.380
2,11:09,1,10,DEN 4,0,7,Jake Plummer pass complete to Rod Smith for 8 yards (tackle by Tory James),-0.380,-0.200
