Unnamed: 0,DEN,CIN
First Downs,22,13
Rush-Yds-TDs,26-123-0,33-133-1
Cmp-Att-Yd-TD-INT,23-40-221-1-2,12-21-198-1-1
Sacked-Yards,3-26,1-10
Net Pass Yards,195,188
Total Yards,318,321
Fumbles-Lost,2-1,1-0
Turnovers,3,1
Penalties-Yards,8-88,9-65
Third Down Conv.,6-15,3-13
Fourth Down Conv.,0-1,0-1
Time of Possession,32:29,27:31
