Quarter,Time,Tm,Detail,DEN,CIN
1.0,8:26,Bengals,Chad Johnson 50 yard pass from Carson Palmer (Shayne Graham kick),0,7
2.0,5:35,Bengals,Shayne Graham 53 yard field goal,0,10
,1:53,Broncos,Rod Smith 3 yard pass from Jake Plummer (Jason Elam kick),7,10
,0:00,Bengals,Shayne Graham 34 yard field goal,7,13
3.0,6:48,Broncos,Jason Elam 29 yard field goal,10,13
,0:02,Bengals,Rudi Johnson 36 yard rush (Shayne Graham kick),10,20
4.0,7:31,Bengals,Shayne Graham 35 yard field goal,10,23
