Unnamed: 0,LAR,WAS
First Downs,20,10
Rush-Yds-TDs,35-129-2,14-38-1
Cmp-Att-Yd-TD-INT,21-30-309-2-1,18-30-111-0-0
Sacked-Yards,1-9,8-41
Net Pass Yards,300,70
Total Yards,429,108
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,5-60,3-40
Third Down Conv.,6-15,2-13
Fourth Down Conv.,0-1,0-1
Time of Possession,35:35,24:25
