Quarter,Time,Tm,Detail,LAR,WAS
1.0,7:29,Rams,Darrell Henderson 1 yard rush (Sam Sloman kick failed),6,0
,1:34,Washington,Kyle Allen 7 yard rush (Dustin Hopkins kick),6,7
2.0,14:52,Rams,Robert Woods 56 yard pass from Jared Goff (Sam Sloman kick),13,7
,7:32,Rams,Jared Goff 2 yard rush (Sam Sloman kick),20,7
,0:00,Washington,Dustin Hopkins 48 yard field goal,20,10
3.0,7:04,Rams,Sam Sloman 28 yard field goal,23,10
4.0,6:37,Rams,Darrell Henderson 11 yard pass from Jared Goff (Sam Sloman kick),30,10
