Quarter,Time,Down,ToGo,Location,LAR,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Washington to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,Kyle Allen pass complete short middle to Antonio Gibson for 3 yards (tackle by Samson Ebukam),0.610,0.470
1,14:22,2,7,WAS 28,0,0,Antonio Gibson left tackle for 1 yard (tackle by Kenny Young),0.470,-0.100
1,13:44,3,6,WAS 29,0,0,Kyle Allen pass incomplete short middle intended for Terry McLaurin (defended by Jordan Fuller),-0.100,-1.440
1,13:39,4,6,WAS 29,0,0,"Tress Way punts 47 yards, fair catch by Cooper Kupp at LA-24",-1.440,-0.540
1,13:32,1,10,LAR 24,0,0,Darrell Henderson up the middle for 4 yards (tackle by Daron Payne),0.540,0.540
1,12:53,2,6,LAR 28,0,0,Jared Goff pass complete short middle to Cooper Kupp for 1 yard (tackle by Kevin Pierre-Louis),0.540,-0.030
1,12:13,3,5,LAR 29,0,0,Jared Goff pass complete short left to Gerald Everett for 17 yards (tackle by Troy Apke),-0.030,1.990
1,11:35,1,10,LAR 46,0,0,Jared Goff pass complete deep middle to Josh Reynolds for 17 yards (tackle by Kendall Fuller),1.990,3.120
1,11:03,1,10,WAS 37,0,0,Jared Goff pass complete short left to Malcolm Brown for -6 yards (tackle by Jimmy Moreland),3.120,1.760
1,10:23,2,16,WAS 43,0,0,Jared Goff pass complete short left to Tyler Higbee for 9 yards (tackle by Kevin Pierre-Louis and Landon Collins),1.760,2.280
1,9:42,3,7,WAS 34,0,0,Jared Goff pass complete short right to Gerald Everett for 23 yards (tackle by Kevin Pierre-Louis),2.280,4.840
1,8:52,1,10,WAS 11,0,0,Jared Goff pass complete short left to Darrell Henderson for 7 yards (tackle by Kamren Curl),4.840,5.470
1,8:09,2,3,WAS 4,0,0,Darrell Henderson up the middle for 3 yards (tackle by Landon Collins),5.470,6.970
1,7:32,1,1,WAS 1,6,0,"Darrell Henderson right tackle for 1 yard, touchdown",6.970,7.000
1,7:29,,,WAS 15,6,0,Sam Sloman kicks extra point no good wide left,0.000,-1.000
1,7:29,,,LAR 35,6,0,"Sam Sloman kicks off 66 yards, returned by Danny Johnson for 28 yards (tackle by Jachai Polite)",0.000,0.740
1,7:24,1,10,WAS 27,6,0,Kyle Allen sacked by Troy Reeder for no gain,0.740,0.200
1,6:51,2,10,WAS 27,6,0,Kyle Allen pass complete short right to Antonio Gibson for 3 yards (tackle by John Johnson),0.200,-0.100
1,6:15,3,7,WAS 30,6,0,Kyle Allen pass complete short right to Terry McLaurin for 12 yards (tackle by Darious Williams),-0.100,1.730
1,5:41,1,10,WAS 42,6,0,Antonio Gibson left guard for 5 yards (tackle by Morgan Fox),1.730,1.860
1,5:04,2,5,WAS 47,6,0,"Kyle Allen pass incomplete short right intended for Antonio Gandy-Golden. Penalty on Aaron Donald: Roughing the Passer, 15 yards (no play)",1.860,3.050
1,5:00,1,10,LAR 38,6,0,Antonio Gibson up the middle for no gain (tackle by Troy Reeder and Michael Brockers),3.050,2.510
1,4:16,2,10,LAR 38,6,0,Kyle Allen pass complete short left to J.D. McKissic for 8 yards (tackle by Jordan Fuller),2.510,2.870
1,3:50,3,2,LAR 30,6,0,J.D. McKissic right end for 3 yards (tackle by Troy Reeder),2.870,3.780
1,3:07,1,10,LAR 27,6,0,Kyle Allen pass complete short right to Antonio Gibson for 18 yards (tackle by Kenny Young and Michael Brockers),3.780,5.140
1,2:19,1,9,LAR 9,6,0,Antonio Gibson right tackle for 2 yards (tackle by Troy Hill and Michael Brockers),5.140,4.760
1,1:41,2,7,LAR 7,6,6,"Kyle Allen left end for 7 yards, touchdown",4.760,7.000
1,1:34,,,LAR 15,6,7,Dustin Hopkins kicks extra point good,0.000,0.000
1,1:34,,,WAS 35,6,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,1:34,1,10,LAR 25,6,7,Darrell Henderson left tackle for 1 yard (tackle by Tim Settle),0.610,0.200
1,0:52,2,9,LAR 26,6,7,Darrell Henderson right tackle for -1 yards (tackle by Chase Young),0.200,-0.620
1,0:10,3,10,LAR 25,6,7,"Jared Goff pass incomplete short middle intended for Cooper Kupp. Penalty on Deshazor Everett: Defensive Pass Interference, 15 yards (no play)",-0.620,1.600
1,0:05,1,10,LAR 40,6,7,Jared Goff pass complete short left to Robert Woods for 4 yards (tackle by Kendall Fuller),1.600,1.590
Quarter,Time,Down,ToGo,Location,LAR,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,LAR 44,12,7,"Jared Goff pass complete deep left to Robert Woods for 56 yards, touchdown",1.590,7.000
2,14:52,,,WAS 15,13,7,Sam Sloman kicks extra point good,0.000,0.000
2,14:52,,,LAR 35,13,7,"Sam Sloman kicks off 65 yards, returned by Danny Johnson for 20 yards (tackle by Jachai Polite). Penalty on J.D. McKissic: Illegal Double-Team Block, 10 yards",0.000,-0.380
2,14:47,1,10,WAS 10,13,7,"Antonio Gibson right end for -2 yards (tackle by Darious Williams). Penalty on Justin Hollins: Unnecessary Roughness, 15 yards",-0.380,0.480
2,14:17,1,10,WAS 23,13,7,Kyle Allen pass complete short right to Temarrick Hemingway for 10 yards (tackle by Greg Gaines),0.480,1.140
2,13:33,1,10,WAS 33,13,7,Antonio Gibson right end for 3 yards (tackle by Michael Brockers and Kenny Young),1.140,1.000
2,13:00,2,7,WAS 36,13,7,Kyle Allen pass incomplete short right intended for Jeremy Sprinkle,1.000,0.300
2,12:56,3,7,WAS 36,13,7,Kyle Allen pass complete short right to J.D. McKissic for 6 yards (tackle by Troy Reeder),0.300,-0.590
2,12:18,4,1,WAS 42,13,7,"Tress Way punts 41 yards, fair catch by Cooper Kupp at LA-17",-0.590,0.060
2,12:12,1,10,LAR 17,13,7,Darrell Henderson left tackle for 7 yards (tackle by Jonathan Allen),-0.060,0.480
2,11:35,2,3,LAR 24,13,7,Jared Goff pass complete short left to Darrell Henderson for 12 yards (tackle by Chase Young),0.480,1.330
2,10:59,1,10,LAR 36,13,7,Jared Goff pass incomplete short left intended for Josh Reynolds (defended by Kendall Fuller),1.330,0.790
2,10:55,2,10,LAR 36,13,7,Jared Goff pass complete short right to Robert Woods for 6 yards (tackle by Ronald Darby),0.790,0.890
2,10:21,3,4,LAR 42,13,7,Jared Goff pass complete short left to Cooper Kupp for 8 yards (tackle by Kendall Fuller),0.890,2.260
2,9:47,1,10,LAR 50,13,7,Jared Goff pass complete short right to Gerald Everett for 40 yards (tackle by Jonathan Bostic and Landon Collins),2.260,4.910
2,8:57,1,10,WAS 10,13,7,Darrell Henderson right end for 2 yards (tackle by Montez Sweat),4.910,4.570
2,8:14,2,8,WAS 8,13,7,Darrell Henderson right end for 6 yards (tackle by Troy Apke),4.570,4.950
2,7:38,3,2,WAS 2,19,7,"Jared Goff left end for 2 yards, touchdown",4.950,7.000
2,7:32,,,WAS 15,20,7,Sam Sloman kicks extra point good,0.000,0.000
2,7:32,,,LAR 35,20,7,"Sam Sloman kicks off 65 yards, touchback.",0.000,0.610
2,7:32,1,10,WAS 25,20,7,Kyle Allen sacked by Aaron Donald for -10 yards,0.610,-1.430
2,6:51,2,20,WAS 15,20,7,Kyle Allen pass complete short right to J.D. McKissic for 5 yards (tackle by John Johnson),-1.430,-1.290
2,6:09,3,15,WAS 20,20,7,Kyle Allen pass incomplete deep left,-1.290,-2.030
2,6:03,4,15,WAS 20,20,7,"Tress Way punts 53 yards, returned by Cooper Kupp for 5 yards (tackle by Jeremy Sprinkle). Penalty on Xavier Jones: Illegal Block Above the Waist, 10 yards",-2.030,-0.410
2,5:49,1,10,LAR 22,20,7,"Jared Goff pass incomplete short middle intended for Tyler Higbee. Penalty on Montez Sweat: Roughing the Passer, 15 yards (no play)",0.410,1.400
2,5:46,1,10,LAR 37,20,7,Cam Akers left guard for 8 yards (tackle by Troy Apke and Montez Sweat),1.400,1.940
2,5:08,2,2,LAR 45,20,7,Cam Akers left end for 3 yards (tackle by Landon Collins),1.940,2.130
2,4:34,1,10,LAR 48,20,7,Cam Akers left guard for 3 yards (tackle by Jonathan Allen),2.130,1.990
2,3:50,2,7,WAS 49,20,7,Cam Akers right tackle for 3 yards (tackle by Jonathan Bostic and Jonathan Allen),1.990,1.680
2,3:07,3,4,WAS 46,20,7,Jared Goff pass incomplete short right intended for Josh Reynolds (defended by Ronald Darby),1.680,0.200
2,3:03,4,4,WAS 46,20,7,"Johnny Hekker punts 37 yards, muffed catch by Isaiah Wright, recovered by Isaiah Wright at WAS-11, returned by Isaiah Wright for no gain",0.200,0.370
2,2:55,1,10,WAS 11,20,7,Kyle Allen pass complete short left to Terry McLaurin for 9 yards (tackle by Jordan Fuller),-0.370,0.360
2,2:25,2,1,WAS 20,20,7,Kyle Allen pass incomplete short middle,0.360,-0.370
2,2:21,3,1,WAS 20,20,7,"Kyle Allen sacked by Jalen Ramsey for no gain. Penalty on Jalen Ramsey: Lowering the Head to Initiate Contact, 15 yards (no play)",-0.370,1.270
