Quarter,Time,Tm,Detail,BAL,STL
1.0,12:20,Ravens,Torrey Smith 74 yard pass from Joe Flacco (Billy Cundiff kick),7,0
,3:38,Ravens,Torrey Smith 41 yard pass from Joe Flacco (Billy Cundiff kick),14,0
,1:48,Ravens,Torrey Smith 18 yard pass from Joe Flacco (Billy Cundiff kick),21,0
2.0,3:05,Ravens,Billy Cundiff 21 yard field goal,24,0
,0:00,Ravens,Billy Cundiff 31 yard field goal,27,0
3.0,10:29,Ravens,Billy Cundiff 38 yard field goal,30,0
,5:14,Rams,Brandon Gibson 34 yard pass from Sam Bradford (Josh Brown kick),30,7
4.0,4:58,Ravens,Haloti Ngata 28 yard defensive fumble return (Billy Cundiff kick),37,7
