Quarter,Time,Down,ToGo,Location,BAL,STL,Detail,EPB,EPA
1,7:37,2,10,BAL 43,7,0,Sam Bradford pass complete short right to Brandon Gibson for 4 yards (tackle by Ed Reed),2.180,2.010
1,7:03,,,,7,0,Timeout #1 by Baltimore Ravens,0.000,2.010
1,7:03,3,6,BAL 39,7,0,Sam Bradford pass incomplete short right intended for Brandon Gibson,2.010,0.660
1,6:57,4,6,BAL 39,7,0,"Donnie Jones punts 39 yards, touchback",0.660,-0.280
1,6:49,1,10,BAL 20,7,0,Joe Flacco pass incomplete short right intended for Anquan Boldin,0.280,-0.270
1,6:43,2,10,BAL 20,7,0,Torrey Smith right end for 10 yards (tackle by Quintin Mikell),-0.270,0.940
1,6:24,1,10,BAL 30,7,0,"Joe Flacco pass complete short right to Vonta Leach for 10 yards (tackle by Quintin Mikell). Penalty on Dennis Pitta: Illegal Block Above the Waist (Offsetting), Penalty on Bradley Fletcher: Unnecessary Roughness (Offsetting) (no play)",0.940,0.940
1,5:47,1,10,BAL 30,7,0,Ray Rice right tackle for 4 yards (tackle by Justin Bannan),0.940,0.930
1,5:13,2,6,BAL 34,7,0,Joe Flacco pass complete short right to Ray Rice for 11 yards (tackle by Quintin Mikell),0.930,1.930
1,4:44,1,10,BAL 45,7,0,"Joe Flacco pass complete short left to Dennis Pitta for 4 yards (tackle by Justin King and Darian Stewart). Penalty on Eugene Sims: Defensive Offside, 5 yards (no play)",1.930,2.660
1,4:27,1,5,,7,0,Joe Flacco pass incomplete deep middle intended for Torrey Smith,2.660,2.060
1,4:15,2,5,,7,0,Joe Flacco pass complete short left to Anquan Boldin for 9 yards (tackle by Darian Stewart),2.060,2.850
1,3:49,1,10,STL 41,13,0,"Joe Flacco pass complete deep middle to Torrey Smith for 41 yards, touchdown",2.850,7.000
1,,,,STL 2,14,0,Billy Cundiff kicks extra point good,0.000,0.000
1,,,,BAL 35,14,0,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
1,3:38,1,10,STL 20,14,0,Sam Bradford pass incomplete short left intended for Danario Alexander,0.280,-0.270
1,3:34,2,10,STL 20,14,0,Sam Bradford pass incomplete short left intended for Danario Alexander,-0.270,-0.960
1,3:32,3,10,STL 20,14,0,Sam Bradford sacked by Pernell McPhee for -4 yards,-0.960,-2.390
1,3:07,4,14,STL 16,14,0,"Donnie Jones punts 39 yards, fair catch by Lardarius Webb",-2.390,-1.930
1,2:59,1,10,BAL 45,14,0,Joe Flacco pass complete short right to Anquan Boldin for 9 yards (tackle by James Laurinaitis),1.930,2.600
1,2:23,2,1,STL 46,14,0,Ricky Williams right tackle for 28 yards (tackle by Darian Stewart),2.600,4.370
1,1:53,1,10,STL 18,20,0,"Joe Flacco pass complete deep left to Torrey Smith for 18 yards, touchdown",4.370,7.000
1,,,,STL 2,21,0,"Billy Cundiff kicks extra point good. Penalty on Danario Alexander: Defensive Offside, 5 yards",0.000,0.000
1,,,,BAL 40,21,0,"Billy Cundiff kicks off 60 yards, touchback",0.000,0.280
1,1:48,1,10,STL 20,21,0,Cadillac Williams right tackle for 1 yard (tackle by Arthur Jones),0.280,-0.130
1,1:16,2,9,STL 21,21,0,Sam Bradford sacked by Terrell Suggs for -10 yards,-0.130,-2.470
1,0:33,3,19,STL 11,21,0,Sam Bradford pass incomplete short left intended for Danario Alexander,-2.470,-2.490
1,0:27,4,19,STL 11,21,0,"Donnie Jones punts 55 yards, returned by Lardarius Webb for no gain",-2.490,-1.200
1,0:16,1,10,BAL 34,21,0,Joe Flacco pass incomplete short middle intended for Anquan Boldin,1.200,0.660
1,0:13,2,10,BAL 34,21,0,"Joe Flacco pass incomplete short left intended for Anquan Boldin. Penalty on Michael Oher: Illegal Use of Hands, 10 yards (no play)",0.660,-0.690
1,0:09,2,20,BAL 24,21,0,Ray Rice right tackle for 17 yards (tackle by Bradley Fletcher),-0.690,0.890
Quarter,Time,Down,ToGo,Location,BAL,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,BAL 41,21,0,Joe Flacco pass complete short right to Ed Dickson for 5 yards (tackle by Chris Chamberlain),0.890,1.990
2,14:27,1,10,BAL 46,21,0,Joe Flacco pass incomplete deep left intended for Anquan Boldin,1.990,1.450
2,14:22,2,10,BAL 46,21,0,Joe Flacco for 9 yards (tackle by Brady Poppinga),1.450,1.950
2,13:47,3,1,STL 45,21,0,Joe Flacco pass incomplete short right intended for LaQuan Williams,1.950,0.270
2,13:42,4,1,STL 45,21,0,Joe Flacco left tackle for 5 yards (tackle by Bradley Fletcher),0.270,2.920
2,13:05,1,10,STL 40,21,0,Joe Flacco pass complete short middle to Anquan Boldin for 5 yards (tackle by Al Harris),2.920,3.050
2,12:26,2,5,STL 35,21,0,Ray Rice right guard for 3 yards (tackle by Chris Chamberlain),3.050,2.740
2,11:41,3,2,STL 32,21,0,Joe Flacco pass incomplete deep middle intended for Ed Dickson,2.740,1.300
2,11:36,4,2,STL 32,21,0,Billy Cundiff 51 yard field goal no good,1.300,-1.660
2,11:31,1,10,STL 41,21,0,Cadillac Williams left tackle for 3 yards (tackle by Arthur Jones),1.660,1.530
2,10:58,2,7,STL 44,21,0,Cadillac Williams left guard for 6 yards (tackle by Jameel McClain),1.530,1.620
2,10:22,3,1,,21,0,Cadillac Williams left tackle for 2 yards (tackle by Terrell Suggs),1.620,2.390
2,9:55,1,10,BAL 48,21,0,Sam Bradford pass complete short right to Brandon Gibson for 4 yards (tackle by Lardarius Webb),2.390,2.390
2,9:29,2,6,BAL 44,21,0,Sam Bradford pass complete short left to Brandon Gibson for 6 yards (tackle by Cary Williams),2.390,3.050
2,8:52,1,10,BAL 38,21,0,Sam Bradford pass incomplete short left intended for Lance Kendricks,3.050,2.510
2,8:43,2,10,BAL 38,21,0,Cadillac Williams right tackle for 7 yards (tackle by Dannell Ellerbe),2.510,2.740
2,8:05,3,3,BAL 31,21,0,Sam Bradford pass incomplete deep left intended for Danario Alexander,2.740,1.380
2,8:00,4,3,BAL 31,21,0,"Sam Bradford pass incomplete short left intended for Danario Alexander. Penalty on Cary Williams: Defensive Pass Interference, 6 yards (no play)",1.380,3.910
2,7:56,,,,21,0,Timeout #1 by St. Louis Rams,0.000,3.910
2,7:56,1,10,BAL 25,21,0,Cadillac Williams up the middle for 2 yards (tackle by Haloti Ngata),3.910,3.630
2,7:26,2,8,BAL 23,21,0,"Cadillac Williams left guard for 9 yards (tackle by Dannell Ellerbe). Penalty on Jason Smith: Unnecessary Roughness, 15 yards",3.630,3.640
2,6:55,1,10,BAL 29,21,0,Sam Bradford pass complete short right to Austin Pettis for 3 yards (tackle by Chris Carr),3.640,3.510
2,6:21,2,7,BAL 26,21,0,Sam Bradford pass incomplete deep right intended for Danario Alexander is intercepted by Lardarius Webb at BAL-3,3.510,0.380
2,6:15,1,10,BAL 3,21,0,"Penalty on Ed Dickson: False Start, 1 yards (no play)",-0.380,-0.420
2,6:15,1,11,BAL 2,21,0,Joe Flacco pass complete short left to Anquan Boldin for 3 yards (tackle by Ben Leber),-0.420,-0.630
2,5:34,2,8,BAL 5,21,0,Joe Flacco pass complete short right to Torrey Smith for 11 yards (tackle by Justin King),-0.630,-0.140
2,5:07,1,10,BAL 16,21,0,Joe Flacco pass incomplete deep right intended for Torrey Smith (defended by Justin King),-0.140,-0.660
2,5:00,2,10,BAL 16,21,0,Joe Flacco pass complete short middle to Ed Dickson for 9 yards (tackle by Ben Leber),-0.660,-0.200
2,4:27,3,1,BAL 25,21,0,"Ray Rice right guard for 53 yards (tackle by Bradley Fletcher). Penalty on Bradley Fletcher: Face Mask (15 Yards), 11 yards",-0.200,4.840
2,4:04,1,10,STL 11,21,0,Joe Flacco pass complete short right to Ed Dickson for 6 yards (tackle by Craig Dahl),4.840,5.280
2,3:49,2,4,STL 5,21,0,Ray Rice up the middle for 2 yards (tackle by James Hall),5.280,4.890
2,3:11,3,2,STL 3,21,0,Joe Flacco pass incomplete short left intended for Vonta Leach,4.890,3.050
2,3:08,4,2,STL 3,24,0,Billy Cundiff 21 yard field goal good,3.050,3.000
2,,,,BAL 35,24,0,"Billy Cundiff kicks off 70 yards, returned by Jerious Norwood for 20 yards (tackle by Albert McClellan)",0.000,-0.220
2,3:01,,,,24,0,Timeout #2 by Baltimore Ravens,0.000,-0.220
2,3:01,1,10,STL 15,24,0,Steven Jackson up the middle for 4 yards (tackle by Ray Lewis),-0.220,-0.110
2,2:31,2,6,STL 19,24,0,Sam Bradford pass incomplete short right intended for Danario Alexander,-0.110,-0.880
2,2:26,3,6,STL 19,24,0,Sam Bradford pass incomplete short right intended for Steven Jackson (defended by Bernard Pollard),-0.880,-2.140
2,2:17,4,6,STL 19,24,0,Donnie Jones punts 59 yards (tackle by Chris Chamberlain),-2.140,-1.470
2,2:05,1,10,BAL 38,24,0,Joe Flacco for 2 yards (tackle by Justin King),1.470,1.190
2,1:57,2,8,BAL 40,24,0,Joe Flacco pass complete short left to LaQuan Williams for 7 yards (tackle by Quintin Mikell),1.190,1.420
2,1:36,3,1,BAL 47,24,0,Joe Flacco up the middle for 3 yards,1.420,2.260
2,1:15,1,10,,24,0,Joe Flacco pass complete short right to Ray Rice for 14 yards (tackle by James Butler),2.260,3.180
2,1:05,1,10,STL 36,24,0,Joe Flacco pass incomplete deep right intended for Ray Rice,3.180,2.640
2,1:01,2,10,STL 36,24,0,Joe Flacco pass complete short left to Ed Dickson for 12 yards (tackle by Justin King),2.640,3.970
2,0:38,1,10,STL 24,24,0,Joe Flacco pass complete short left to Ricky Williams for 11 yards (tackle by Craig Dahl),3.970,4.710
2,0:14,1,10,STL 13,24,0,Joe Flacco pass incomplete short left intended for Anquan Boldin,4.710,4.050
2,0:10,2,10,STL 13,24,0,Joe Flacco pass incomplete short right intended for Tandon Doss,4.050,3.120
2,0:05,3,10,STL 13,27,0,Billy Cundiff 31 yard field goal good,3.120,3.000
Quarter,Time,Down,ToGo,Location,BAL,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,27,0,"Josh Brown kicks off 74 yards, returned by LaQuan Williams for 37 yards (tackle by Bradley Fletcher)",0.000,0.810
3,14:55,1,10,BAL 28,27,0,Ray Rice left tackle for 3 yards (tackle by James Laurinaitis),0.810,0.670
3,14:27,2,7,BAL 31,27,0,Joe Flacco pass incomplete short left intended for Anquan Boldin (defended by Justin Bannan),0.670,-0.030
3,14:23,3,7,BAL 31,27,0,Joe Flacco pass complete short right to Ray Rice for 20 yards (tackle by Bradley Fletcher),-0.030,2.320
3,13:51,1,10,STL 49,27,0,Ricky Williams up the middle for 2 yards (tackle by James Laurinaitis),2.320,2.050
3,13:18,2,8,STL 47,27,0,Joe Flacco pass complete short right to Vonta Leach for 7 yards (tackle by Brady Poppinga),2.050,2.280
3,12:52,3,1,STL 40,27,0,Joe Flacco up the middle for 2 yards (tackle by Ben Leber),2.280,3.050
3,12:16,1,10,STL 38,27,0,Ray Rice up the middle for 2 yards (tackle by Brady Poppinga),3.050,2.780
3,11:35,2,8,STL 36,27,0,Joe Flacco pass complete short right to Ray Rice for 16 yards (tackle by Brady Poppinga),2.780,4.240
3,10:52,1,10,STL 20,27,0,Joe Flacco pass incomplete deep left intended for Anquan Boldin (defended by Justin King),4.240,3.690
3,10:44,2,10,STL 20,27,0,Joe Flacco pass incomplete deep middle intended for Dennis Pitta,3.690,3.010
3,10:40,3,10,STL 20,27,0,Joe Flacco pass incomplete deep middle intended for Anquan Boldin (defended by Al Harris),3.010,2.120
3,10:34,4,10,STL 20,30,0,Billy Cundiff 38 yard field goal good,2.120,3.000
3,,,,BAL 35,30,0,"Billy Cundiff kicks off 74 yards, touchback",0.000,0.280
3,10:29,1,10,STL 20,30,0,Cadillac Williams right guard for 4 yards (tackle by Jarret Johnson),0.280,0.270
3,9:58,2,6,STL 24,30,0,Cadillac Williams right tackle for 3 yards (tackle by Ray Lewis),0.270,-0.030
3,9:11,3,3,STL 27,30,0,Sam Bradford pass complete short right to Mike Sims-Walker for 14 yards (tackle by Lardarius Webb),-0.030,1.660
3,8:36,1,10,STL 41,30,0,Cadillac Williams right tackle for -2 yards (tackle by Cory Redding),1.660,0.850
3,7:54,2,12,STL 39,30,0,Sam Bradford pass complete short middle to Lance Kendricks for 13 yards (tackle by Tom Zbikowski),0.850,2.390
3,7:21,1,10,BAL 48,30,0,Sam Bradford pass complete short right to Lance Kendricks for 12 yards (tackle by Jarret Johnson),2.390,3.180
3,6:55,1,10,BAL 36,30,0,"Cadillac Williams left end for -5 yards (tackle by Terrell Suggs). Penalty on Terrell Suggs: Face Mask (15 Yards) (Offsetting), Penalty on Jacob Bell: Offensive Holding (Offsetting) (no play)",3.180,3.180
3,6:37,1,10,BAL 36,30,0,Steven Jackson right guard for 7 yards (tackle by Ray Lewis),3.180,3.580
3,6:01,2,3,BAL 29,30,0,Sam Bradford pass complete short right to Michael Hoomanawanui for 10 yards (tackle by Jameel McClain),3.580,4.310
3,5:26,1,10,BAL 19,30,0,"Sam Bradford pass incomplete short left intended for Lance Kendricks. Penalty on Jacob Bell: Chop Block, 15 yards (no play)",4.310,3.310
3,5:22,1,25,BAL 34,30,6,"Sam Bradford pass complete deep right to Brandon Gibson for 34 yards, touchdown",3.310,7.000
3,,,,BAL 2,30,7,Josh Brown kicks extra point good,0.000,0.000
3,,,,STL 35,30,7,"Josh Brown kicks off 74 yards, returned by LaQuan Williams for 23 yards (tackle by Darian Stewart)",0.000,-0.280
3,5:09,1,10,BAL 14,30,7,Joe Flacco pass complete short right to Anquan Boldin for 12 yards (tackle by Justin King),-0.280,0.670
3,4:34,1,10,BAL 26,30,7,Joe Flacco pass complete short right to Anquan Boldin for 21 yards (tackle by Quintin Mikell),0.670,2.060
3,4:01,1,10,BAL 47,30,7,Ricky Williams right tackle for 4 yards (tackle by Ben Leber),2.060,2.060
3,3:23,2,6,STL 49,30,7,Joe Flacco pass complete short right to Vonta Leach for no gain,2.060,1.360
3,2:37,3,6,STL 49,30,7,Joe Flacco pass incomplete short right intended for Ed Dickson,1.360,0.000
3,2:28,4,6,STL 49,30,7,"Sam Koch punts 40 yards, fair catch by Austin Pettis",0.000,0.380
3,2:22,1,10,STL 9,30,7,Cadillac Williams left guard for 5 yards (tackle by Jameel McClain),-0.380,-0.390
3,1:51,2,5,STL 14,30,7,Sam Bradford pass incomplete short left intended for Mike Sims-Walker,-0.390,-0.840
3,1:45,3,5,STL 14,30,7,Sam Bradford pass complete short right to Brandon Gibson for 7 yards (tackle by Chris Carr),-0.840,0.340
3,1:09,1,10,STL 21,30,7,Sam Bradford pass incomplete short right intended for Mike Sims-Walker,0.340,-0.200
3,1:03,2,10,STL 21,30,7,Sam Bradford pass complete short left to Danario Alexander for 13 yards (tackle by Cary Williams),-0.200,1.200
3,0:28,1,10,STL 34,30,7,Sam Bradford pass complete short right to Mike Sims-Walker for 11 yards (tackle by Lardarius Webb),1.200,1.930
Quarter,Time,Down,ToGo,Location,BAL,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,STL 45,30,7,Sam Bradford pass incomplete deep middle intended for Brandon Gibson,1.930,1.380
4,14:52,2,10,STL 45,30,7,Cadillac Williams up the middle for 5 yards (tackle by Ray Lewis),1.380,1.360
4,14:08,3,5,,30,7,Sam Bradford pass complete short left to Austin Pettis for 5 yards (tackle by Ray Lewis),1.360,2.590
4,13:22,1,10,BAL 45,30,7,"Sam Bradford pass incomplete deep right intended for Danario Alexander. Penalty on Jason Smith: Face Mask (15 Yards), 15 yards (no play)",2.590,1.600
4,13:22,1,25,STL 40,30,7,Cadillac Williams right end for 4 yards (tackle by Terrell Suggs),1.600,0.560
4,12:33,2,21,STL 44,30,7,"Sam Bradford for no gain. Sam Bradford fumbles, recovered by Sam Bradford at STL-44",0.560,-0.100
4,11:58,3,21,STL 44,30,7,Sam Bradford sacked by Cory Redding for -7 yards,-0.100,-0.910
4,11:35,4,28,STL 37,30,7,"Donnie Jones punts 48 yards, returned by Lardarius Webb for 7 yards (tackle by Craig Dahl)",-0.910,-0.410
4,11:22,1,10,BAL 22,30,7,Joe Flacco pass complete short left to Torrey Smith for 8 yards (tackle by Bradley Fletcher),0.410,0.950
4,11:01,2,2,BAL 30,30,7,Ray Rice right guard for -1 yards (tackle by Justin Bannan),0.950,0.100
4,10:26,3,3,BAL 29,30,7,Joe Flacco pass complete short middle to Ray Rice for 22 yards (tackle by Justin King),0.100,2.320
4,9:54,1,10,STL 49,30,7,Joe Flacco pass incomplete short middle intended for Ray Rice,2.320,1.780
4,9:46,2,10,STL 49,30,7,Joe Flacco pass incomplete short right intended for Torrey Smith (defended by Brady Poppinga),1.780,1.090
4,9:43,3,10,STL 49,30,7,Joe Flacco pass incomplete deep right intended for LaQuan Williams. Penalty on LaQuan Williams: Offensive Pass Interference (Declined),1.090,0.000
4,9:36,4,10,STL 49,30,7,"Sam Koch punts 49 yards, touchback",0.000,-0.280
4,9:28,1,10,STL 20,30,7,Sam Bradford pass complete short right to Mike Sims-Walker for 11 yards (tackle by Chris Carr),0.280,1.000
4,9:02,1,10,STL 31,30,7,Sam Bradford pass incomplete short right intended for Mike Sims-Walker,1.000,0.460
4,8:53,2,10,STL 31,30,7,Sam Bradford pass complete short right to Cadillac Williams for 4 yards (tackle by Ray Lewis),0.460,0.300
4,8:27,3,6,STL 35,30,7,Sam Bradford pass incomplete short middle intended for Michael Hoomanawanui,0.300,-1.040
4,8:22,4,6,STL 35,30,7,Sam Bradford sacked by Jameel McClain for -4 yards,-1.040,-3.510
4,8:16,1,10,STL 31,30,7,Ricky Williams up the middle for 4 yards (tackle by Gary Gibson),3.510,3.510
4,7:43,2,6,STL 27,30,7,Joe Flacco pass complete short right to Ed Dickson for 19 yards (tackle by Quintin Mikell),3.510,5.370
4,7:01,1,8,STL 8,30,7,Ricky Williams up the middle for 4 yards (tackle by Eugene Sims),5.370,5.340
4,6:24,2,4,STL 4,30,7,Joe Flacco sacked by Chris Long for -2 yards,5.340,4.040
4,5:47,3,6,STL 6,30,7,"Joe Flacco sacked by Chris Chamberlain for -7 yards. Joe Flacco fumbles (forced by Chris Chamberlain), recovered by Quintin Mikell at STL-8 and returned for 14 yards (tackle by Anquan Boldin)",4.040,-0.410
4,5:36,1,10,STL 22,30,7,Sam Bradford pass complete short right to Danario Alexander for 15 yards (tackle by Lardarius Webb),0.410,1.400
4,5:08,,,,30,7,Timeout #1 by St. Louis Rams,0.000,1.400
4,5:08,1,10,STL 37,36,7,"Sam Bradford sacked by Ray Lewis for -9 yards. Sam Bradford fumbles (forced by Ray Lewis), recovered by Haloti Ngata at STL-28 and returned for 28 yards, touchdown",1.400,-7.000
4,,,,STL 2,37,7,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,,37,7,"Sam Koch kicks off 50 yards, touchback",0.000,0.280
4,4:58,1,10,STL 20,37,7,Cadillac Williams up the middle for 3 yards (tackle by Paul Kruger),0.280,0.140
4,4:26,2,7,STL 23,37,7,Cadillac Williams up the middle for 3 yards (tackle by Pernell McPhee),0.140,-0.160
4,3:56,3,4,STL 26,37,7,Cadillac Williams up the middle for 2 yards (tackle by Bernard Pollard),-0.160,-1.500
,,,,,,,"BAL challenged the runner was down by contact ruling, and the play was upheld.",,
4,3:20,4,2,STL 28,37,7,"Donnie Jones punts 50 yards, muffed catch by LaQuan Williams, recovered by LaQuan Williams and returned for no gain",-1.500,-0.480
4,3:10,1,10,BAL 23,37,7,Anthony Allen left tackle for 3 yards (tackle by James Laurinaitis),0.480,0.340
4,2:30,2,7,BAL 26,37,7,"Penalty on Jah Reid: False Start, 5 yards (no play)",0.340,-0.340
4,2:27,2,12,BAL 21,37,7,Anthony Allen left tackle for 2 yards (tackle by Darell Scott),-0.340,-0.760
4,2:00,3,10,BAL 23,37,7,"Joe Flacco pass incomplete deep right intended for Tandon Doss. Penalty on Bradley Fletcher: Defensive Pass Interference, 36 yards (no play)",-0.760,2.850
4,1:54,1,10,STL 41,37,7,Anthony Allen left tackle for 3 yards (tackle by Darell Scott),2.850,2.710
4,1:08,2,7,STL 38,37,7,Joe Flacco kneels for -1 yards,2.710,1.880
4,0:32,3,8,STL 39,37,7,Joe Flacco kneels for -1 yards,1.880,0.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
