Unnamed: 0,DEN,DET
First Downs,19,22
Rush-Yds-TDs,19-41-1,19-28-1
Cmp-Att-Yd-TD-INT,31-42-324-2-1,31-45-282-1-2
Sacked-Yards,1-11,4-20
Net Pass Yards,313,262
Total Yards,354,290
Fumbles-Lost,1-1,1-1
Turnovers,2,3
Penalties-Yards,9-94,9-75
Third Down Conv.,4-12,4-12
Fourth Down Conv.,1-1,0-1
Time of Possession,28:52,31:08
