Unnamed: 0,IND,TEN
First Downs,17,16
Rush-Yds-TDs,17-65-0,35-138-0
Cmp-Att-Yd-TD-INT,33-44-243-1-2,13-20-132-0-0
Sacked-Yards,3-16,2-16
Net Pass Yards,227,116
Total Yards,292,254
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,4-28,2-15
Third Down Conv.,4-13,5-12
Fourth Down Conv.,1-1,0-0
Time of Possession,28:27,31:33
