Unnamed: 0,HOU,IND
First Downs,18,34
Rush-Yds-TDs,23-108-0,35-125-2
Cmp-Att-Yd-TD-INT,22-26-219-3-0,26-38-400-3-0
Sacked-Yards,4-28,2-10
Net Pass Yards,191,390
Total Yards,299,515
Fumbles-Lost,4-2,1-1
Turnovers,2,1
Penalties-Yards,8-58,7-60
Third Down Conv.,4-9,9-12
Fourth Down Conv.,0-0,0-0
Time of Possession,25:04,34:56
