Unnamed: 0,NOR,CHI
First Downs,17,20
Rush-Yds-TDs,29-64-0,18-94-0
Cmp-Att-Yd-TD-INT,29-35-288-2-0,24-33-358-2-0
Sacked-Yards,1-5,3-18
Net Pass Yards,283,340
Total Yards,347,434
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,2-10,6-43
Third Down Conv.,6-16,4-10
Fourth Down Conv.,1-1,0-1
Time of Possession,36:00,24:00
