Quarter,Time,Tm,Detail,IND,HOU
1.0,11:47,Texans,Shayne Graham 29 yard field goal,0,3
,4:51,Texans,Andre Johnson 3 yard pass from Matt Schaub (Shayne Graham kick),0,10
2.0,6:12,Colts,Adam Vinatieri 26 yard field goal,3,10
,3:50,Texans,Shayne Graham 35 yard field goal,3,13
,1:46,Texans,Bryan Braman 8 yard blocked punt return (Shayne Graham kick),3,20
,1:07,Colts,T.Y. Hilton 61 yard pass from Andrew Luck (Adam Vinatieri kick),10,20
3.0,7:33,Texans,Shayne Graham 27 yard field goal,10,23
,2:32,Colts,Dwayne Allen 8 yard pass from Andrew Luck (Adam Vinatieri kick),17,23
4.0,8:30,Texans,Shayne Graham 46 yard field goal,17,26
,1:05,Texans,Shayne Graham 33 yard field goal,17,29
