Unnamed: 0,PHI,DAL
First Downs,17,24
Rush-Yds-TDs,23-106-0,32-138-1
Cmp-Att-Yd-TD-INT,19-28-225-0-0,24-39-271-2-0
Sacked-Yards,1-7,3-15
Net Pass Yards,218,256
Total Yards,324,394
Fumbles-Lost,3-3,1-1
Turnovers,3,1
Penalties-Yards,10-95,7-60
Third Down Conv.,4-9,9-16
Fourth Down Conv.,1-2,1-1
Time of Possession,23:24,36:36
