Quarter,Time,Tm,Detail,DET,CHI
1.0,11:22,Bears,Tarik Cohen 3 yard rush (Cody Parkey kick failed),0,6
,0:38,Bears,Allen Robinson 36 yard pass from Mitchell Trubisky (Cody Parkey kick),0,13
2.0,11:24,Bears,Anthony Miller 45 yard pass from Mitchell Trubisky (Cody Parkey kick failed),0,19
,8:14,Bears,Mitchell Trubisky 4 yard rush (Cody Parkey kick),0,26
,1:05,Lions,Kerryon Johnson 1 yard rush (Matt Prater kick),7,26
3.0,13:23,Lions,Matt Prater 52 yard field goal,10,26
,2:50,Bears,Allen Robinson 26 yard pass from Mitchell Trubisky (Trey Burton pass from Mitchell Trubisky),10,34
4.0,8:30,Lions,Kenny Golladay 5 yard pass from Matthew Stafford (pass failed),16,34
,7:21,Lions,Kerryon Johnson 13 yard pass from Matthew Stafford (pass failed),22,34
