Unnamed: 0,DET,CHI
First Downs,24,20
Rush-Yds-TDs,24-76-1,22-54-2
Cmp-Att-Yd-TD-INT,25-42-274-2-2,23-30-355-3-0
Sacked-Yards,6-45,1-7
Net Pass Yards,229,348
Total Yards,305,402
Fumbles-Lost,3-1,0-0
Turnovers,3,0
Penalties-Yards,6-41,6-46
Third Down Conv.,4-15,4-10
Fourth Down Conv.,4-5,0-0
Time of Possession,32:00,28:00
