Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"John Kasay kicks off 66 yards, returned by Miles Austin for 17 yards (tackle by Donte Curry)",0.000,0.340
1,14:55,1,10,DAL 21,0,0,"Tony Romo for no gain. Tony Romo fumbles, recovered by Tony Romo at DAL-20",0.340,-0.340
1,14:25,2,11,DAL 20,0,0,Julius Jones left guard for 3 yards (tackle by Jon Beason and Ma'ake Kemoeatu),-0.340,-0.630
1,13:41,3,8,DAL 23,0,0,Tony Romo pass complete short middle to Patrick Crayton for 12 yards (tackle by Jon Beason),-0.630,1.270
1,13:05,,,,0,0,Timeout #1 by Carolina Panthers,0.000,1.270
1,13:05,1,10,DAL 35,0,0,Tony Romo up the middle for 8 yards (tackle by Jon Beason),1.270,1.800
1,12:27,2,2,DAL 43,0,0,Tony Romo pass complete short middle to Anthony Fasano for 12 yards (tackle by Deke Cooper),1.800,2.590
1,11:50,1,10,CAR 45,0,0,"Julius Jones right tackle for 2 yards (tackle by Jon Beason). Penalty on Oliver Hoyte: Offensive Holding, 10 yards (no play)",2.590,1.930
1,11:23,1,20,DAL 45,0,0,Tony Romo pass incomplete short left intended for Terrell Owens,1.930,0.690
1,11:18,2,20,DAL 45,0,0,Julius Jones left guard for 3 yards (tackle by Charles Johnson and Mike Rucker),0.690,0.430
1,10:33,3,17,DAL 48,0,0,Tony Romo pass complete short right to Julius Jones for 2 yards (tackle by Na'il Diggs),0.430,-0.060
1,9:44,4,15,,0,0,"Mat McBriar punts 31 yards, fair catch by Ryne Robinson",-0.060,-0.150
1,9:44,1,10,CAR 19,0,0,Matt Moore pass complete short right to DeShaun Foster for 8 yards (tackle by Akin Ayodele),0.150,0.750
1,9:25,2,2,CAR 27,0,0,Matt Moore pass complete short right to Steve Smith for 6 yards (tackle by Terence Newman),0.750,1.140
1,8:44,1,10,CAR 33,0,0,Matt Moore pass incomplete short middle intended for DeShaun Foster (defended by Akin Ayodele),1.140,0.590
1,8:39,2,10,CAR 33,0,0,Matt Moore pass incomplete short left intended for Drew Carter,0.590,-0.100
1,8:35,3,10,CAR 33,0,0,Matt Moore pass complete short right to DeAngelo Williams for 6 yards (tackle by Jason Hatcher),-0.100,-0.780
1,7:59,4,4,CAR 39,0,0,"Jason Baker punts 37 yards, returned by Patrick Crayton for 6 yards (tackle by Tim Shaw)",-0.780,-0.940
1,7:48,1,10,DAL 30,0,0,Marion Barber right tackle for no gain (tackle by Chris Harris),0.940,0.390
1,7:05,2,10,DAL 30,0,0,Tony Romo pass incomplete short left intended for Jason Witten (defended by Na'il Diggs),0.390,-0.300
1,6:59,,,,0,0,Timeout #1 by Dallas Cowboys,0.000,-0.300
1,6:59,3,10,DAL 30,0,0,Tony Romo pass complete short left to Jason Witten for 12 yards (tackle by Richard Marshall),-0.300,1.730
1,6:19,1,10,DAL 42,0,0,"Tony Romo pass complete short left to Marion Barber for 3 yards (tackle by Thomas Davis). Marion Barber fumbles (forced by Thomas Davis), recovered by Flozell Adams at DAL-45",1.730,1.590
1,5:36,2,7,DAL 45,0,0,Marion Barber left tackle for 11 yards (tackle by Thomas Davis),1.590,2.650
1,5:02,1,10,CAR 44,0,0,Marion Barber right guard for 4 yards (tackle by Ma'ake Kemoeatu and Kris Jenkins),2.650,2.650
1,4:20,2,6,CAR 40,0,0,Tony Romo pass complete short left to Terrell Owens for 7 yards (tackle by Thomas Davis),2.650,3.380
1,3:35,1,10,CAR 33,0,0,Tony Romo pass incomplete short right intended for Jason Witten,3.380,2.840
1,3:30,2,10,CAR 33,0,0,Marion Barber up the middle for 1 yard (tackle by Richard Marshall),2.840,2.280
1,2:46,3,9,CAR 32,0,0,Tony Romo pass complete short left to Patrick Crayton for 8 yards (tackle by Richard Marshall),2.280,2.020
1,2:29,4,1,CAR 24,0,0,Marion Barber right guard for 1 yard (tackle by Chris Harris),2.020,4.040
1,2:13,1,10,CAR 23,0,0,Tony Romo pass complete short middle to Patrick Crayton for 13 yards (tackle by Deke Cooper),4.040,4.910
1,1:30,1,10,CAR 10,6,0,"Tony Romo pass complete short right to Terrell Owens for 10 yards, touchdown",4.910,7.000
1,,,,CAR 2,7,0,Nick Folk kicks extra point good,0.000,0.000
1,,,,DAL 30,7,0,Nick Folk kicks off 66 yards,0.000,1.600
1,1:30,1,10,CAR 40,7,0,DeShaun Foster right tackle for 3 yards (tackle by Akin Ayodele),1.600,1.460
1,0:58,2,7,CAR 43,7,0,DeShaun Foster left guard for 2 yards (tackle by Akin Ayodele),1.460,1.030
1,0:16,3,5,CAR 45,7,0,Matt Moore pass incomplete short left intended for Ryne Robinson,1.030,-0.390
1,0:12,4,5,CAR 45,7,0,"Jason Baker punts 55 yards, touchback",-0.390,-0.280
1,0:02,1,10,DAL 20,7,0,Tony Romo pass incomplete short right intended for Jason Witten,0.280,-0.270
Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,DAL 20,7,0,Tony Romo pass incomplete short left intended for Terrell Owens,-0.270,-0.960
2,14:57,,,,7,0,Timeout #2 by Dallas Cowboys,0.000,-0.960
2,14:57,3,10,DAL 20,7,0,Tony Romo pass complete deep left to Terrell Owens for 16 yards,-0.960,1.330
2,14:27,1,10,DAL 36,7,0,Julius Jones left tackle for 5 yards (tackle by Jon Beason),1.330,1.470
2,13:47,2,5,DAL 41,7,0,Tony Romo pass incomplete short middle intended for Jason Witten,1.470,0.760
2,13:41,3,5,DAL 41,7,0,Tony Romo pass incomplete short right intended for Terrell Owens (defended by Richard Marshall),0.760,-0.650
2,13:37,4,5,DAL 41,7,0,"Mat McBriar punts 53 yards, returned by Ryne Robinson for 34 yards (tackle by Kevin Burnett)",-0.650,-1.600
2,13:22,1,10,CAR 40,7,0,Matt Moore pass complete short left to Steve Smith for 13 yards (tackle by Anthony Henry),1.600,2.460
2,12:43,1,10,DAL 47,7,0,DeAngelo Williams right tackle for -2 yards (tackle by Tank Johnson),2.460,1.640
2,12:04,2,12,DAL 49,7,0,DeAngelo Williams up the middle for no gain (tackle by Chris L. Canty and Bradie James),1.640,0.960
2,11:24,3,12,DAL 49,7,0,Matt Moore pass incomplete short left intended for Steve Smith. Penalty on Mike Wahle: Tripping (Declined),0.960,0.000
2,11:18,4,12,DAL 49,7,0,Jason Baker punts 24 yards,0.000,-0.610
2,11:10,1,10,DAL 25,7,0,"Penalty on Flozell Adams: False Start, 5 yards (no play)",0.610,0.280
2,11:10,1,15,DAL 20,7,0,Marion Barber up the middle for 14 yards (tackle by Chris Harris),0.280,1.280
2,10:27,2,1,DAL 34,7,0,Marion Barber left guard for 2 yards (tackle by Kindal Moorehead),1.280,1.330
2,9:51,1,10,DAL 36,7,0,Tony Romo pass complete short left to Terrell Owens for 11 yards (tackle by Ken Lucas),1.330,2.060
