Quarter,Time,Tm,Detail,DAL,CAR
1.0,1:30,Cowboys,Terrell Owens 10 yard pass from Tony Romo (Nick Folk kick),7,0
2.0,6:57,Cowboys,Marion Barber III 5 yard rush (Nick Folk kick),14,0
,5:38,Panthers,Steve Smith Sr. 11 yard pass from Matt Moore (John Kasay kick),14,7
,1:56,Cowboys,Nick Folk 42 yard field goal,17,7
3.0,8:00,Panthers,John Kasay 37 yard field goal,17,10
4.0,8:17,Cowboys,Nick Folk 23 yard field goal,20,10
,3:01,Panthers,John Kasay 25 yard field goal,20,13
