Unnamed: 0,DAL,CAR
First Downs,25,12
Rush-Yds-TDs,37-148-1,14-69-0
Cmp-Att-Yd-TD-INT,28-42-257-1-1,15-28-182-1-1
Sacked-Yards,0-0,5-35
Net Pass Yards,257,147
Total Yards,405,216
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,5-39,3-15
Third Down Conv.,7-17,2-11
Fourth Down Conv.,3-3,1-1
Time of Possession,39:00,21:00
