Unnamed: 0,BAL,PIT
First Downs,20,17
Rush-Yds-TDs,38-175-0,23-48-1
Cmp-Att-Yd-TD-INT,13-25-166-2-1,17-33-259-1-1
Sacked-Yards,4-18,4-21
Net Pass Yards,148,238
Total Yards,323,286
Fumbles-Lost,2-2,1-1
Turnovers,3,2
Penalties-Yards,11-113,4-20
Third Down Conv.,5-13,5-13
Fourth Down Conv.,0-1,0-0
Time of Possession,32:33,27:27
