Unnamed: 0,NYG,PIT
First Downs,16,20
Rush-Yds-TDs,14-56-0,30-117-0
Cmp-Att-Yd-TD-INT,24-39-195-2-2,24-37-289-2-1
Sacked-Yards,2-17,2-17
Net Pass Yards,178,272
Total Yards,234,389
Fumbles-Lost,0-0,1-1
Turnovers,2,2
Penalties-Yards,4-24,12-115
Third Down Conv.,4-11,7-15
Fourth Down Conv.,0-3,1-1
Time of Possession,25:52,34:08
