Quarter,Time,Down,ToGo,Location,NYG,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,NYG 35,0,0,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,PIT 25,0,0,Ben Roethlisberger pass complete short right to Le'Veon Bell for 8 yards (tackle by Jason Pierre-Paul),0.610,1.140
1,14:27,2,2,PIT 33,0,0,Le'Veon Bell left guard for 3 yards (tackle by Landon Collins),1.140,1.330
1,13:51,1,10,PIT 36,0,0,Le'Veon Bell left guard for 2 yards (tackle by Damon Harrison and Kelvin Sheppard),1.330,1.060
1,13:11,2,8,PIT 38,0,0,Le'Veon Bell left guard for 3 yards (tackle by Landon Collins and Jason Pierre-Paul),1.060,0.760
1,12:31,3,5,PIT 41,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 5 yards (tackle by Jonathan Casillas),0.760,1.990
1,11:48,1,10,PIT 46,0,0,Ben Roethlisberger pass complete short left to Le'Veon Bell for 9 yards (tackle by Jonathan Casillas),1.990,2.670
1,11:17,2,1,NYG 45,0,0,Ben Roethlisberger pass incomplete short right intended for Antonio Brown,2.670,1.950
1,11:14,3,1,NYG 45,0,0,Ben Roethlisberger pass incomplete short right intended for Jesse James,1.950,0.270
1,11:10,4,1,NYG 45,0,0,"Jordan Berry punts 30 yards, out of bounds",0.270,0.220
1,11:02,1,10,NYG 15,0,0,Rashad Jennings middle for 3 yards (tackle by Javon Hargrave),-0.220,-0.280
1,10:26,2,7,NYG 18,0,0,Eli Manning pass complete short right to Rashad Jennings for -1 yards (tackle by Artie Burns),-0.280,-1.120
1,9:47,3,8,NYG 17,0,0,Eli Manning pass complete short middle to Rashad Jennings for 20 yards (tackle by Artie Burns and Mike Mitchell),-1.120,1.400
