Quarter,Time,Tm,Detail,ATL,CAR
1.0,13:35,Falcons,Tony Gonzalez 4 yard pass from Matt Ryan (Matt Bryant kick),7,0
,6:51,Falcons,Michael Turner 1 yard rush (Matt Bryant kick),14,0
2.0,2:34,Falcons,Matt Bryant 39 yard field goal,17,0
3.0,10:29,Panthers,Mike Goodson 13 yard rush (John Kasay kick),17,7
,4:41,Falcons,Michael Turner 3 yard rush (Matt Bryant kick),24,7
4.0,9:44,Panthers,John Kasay 36 yard field goal,24,10
,4:12,Falcons,Michael Turner 4 yard rush (Matt Bryant kick),31,10
