Quarter,Time,Tm,Detail,ATL,PHI
1.0,9:04,Falcons,Matt Bryant 33 yard field goal,3,0
2.0,10:28,Eagles,LeGarrette Blount 1 yard rush (Jake Elliott kick failed),3,6
,5:41,Falcons,Devonta Freeman 6 yard pass from Matt Ryan (Matt Bryant kick),10,6
,0:00,Eagles,Jake Elliott 53 yard field goal,10,9
3.0,0:11,Eagles,Jake Elliott 37 yard field goal,10,12
4.0,6:02,Eagles,Jake Elliott 21 yard field goal,10,15
