Unnamed: 0,ATL,PHI
First Downs,19,22
Rush-Yds-TDs,20-86-0,32-96-1
Cmp-Att-Yd-TD-INT,22-36-210-1-0,23-30-246-0-0
Sacked-Yards,3-15,1-8
Net Pass Yards,195,238
Total Yards,281,334
Fumbles-Lost,0-0,4-2
Turnovers,0,2
Penalties-Yards,4-73,4-24
Third Down Conv.,4-13,6-13
Fourth Down Conv.,1-2,1-1
Time of Possession,27:54,32:06
