Unnamed: 0,WAS,NYG
First Downs,12,21
Rush-Yds-TDs,21-60-0,38-88-0
Cmp-Att-Yd-TD-INT,15-35-113-2-1,22-46-211-1-2
Sacked-Yards,2-7,0-0
Net Pass Yards,106,211
Total Yards,166,299
Fumbles-Lost,2-1,1-1
Turnovers,2,3
Penalties-Yards,7-39,8-75
Third Down Conv.,3-16,6-17
Fourth Down Conv.,1-2,1-1
Time of Possession,23:18,36:42
