Quarter,Time,Tm,Detail,WAS,NYG
1.0,6:39,Giants,Matt Bryant 43 yard field goal,0,3
2.0,14:10,Redskins,Willie Jackson 6 yard pass from Shane Matthews (James Tuthill kick),7,3
,5:01,Redskins,James Tuthill 31 yard field goal,10,3
,1:47,Giants,Amani Toomer 35 yard pass from Kerry Collins (Matt Bryant kick),10,10
3.0,11:53,Redskins,Rod Gardner 11 yard pass from Shane Matthews (James Tuthill kick),17,10
,2:56,Giants,Matt Bryant 34 yard field goal,17,13
,1:32,Giants,Matt Bryant 33 yard field goal,17,16
4.0,11:56,Giants,Matt Bryant 19 yard field goal,17,19
