Quarter,Time,Tm,Detail,IND,BAL
2.0,11:18,Ravens,Justin Tucker 23 yard field goal,0,3
,2:25,Colts,Adam Vinatieri 47 yard field goal,3,3
,0:50,Ravens,Vonta Leach 2 yard rush (Justin Tucker kick),3,10
,0:00,Colts,Adam Vinatieri 52 yard field goal,6,10
3.0,8:26,Ravens,Dennis Pitta 20 yard pass from Joe Flacco (Justin Tucker kick),6,17
,0:40,Colts,Adam Vinatieri 26 yard field goal,9,17
4.0,9:14,Ravens,Anquan Boldin 18 yard pass from Joe Flacco (Justin Tucker kick),9,24
