Unnamed: 0,ATL,CAR
First Downs,15,20
Rush-Yds-TDs,16-54-0,32-142-2
Cmp-Att-Yd-TD-INT,25-41-235-0-2,19-27-301-3-0
Sacked-Yards,5-59,2-19
Net Pass Yards,176,282
Total Yards,230,424
Fumbles-Lost,4-2,0-0
Turnovers,4,0
Penalties-Yards,6-54,6-60
Third Down Conv.,4-14,6-12
Fourth Down Conv.,1-4,0-1
Time of Possession,28:21,31:21
