Quarter,Time,Tm,Detail,MIN,MIA
1.0,4:23,Vikings,Matt Asiata 1 yard rush (Blair Walsh kick),7,0
2.0,11:34,Vikings,Greg Jennings 21 yard pass from Teddy Bridgewater (Blair Walsh kick),14,0
,4:53,Dolphins,Dion Sims 14 yard pass from Ryan Tannehill (Caleb Sturgis kick),14,7
,0:02,Vikings,Blair Walsh 18 yard field goal,17,7
3.0,8:29,Dolphins,Mike Wallace 16 yard pass from Ryan Tannehill (Caleb Sturgis kick),17,14
4.0,14:57,Dolphins,Lamar Miller 1 yard rush (Caleb Sturgis kick),17,21
,9:52,Vikings,Blair Walsh 33 yard field goal,20,21
,6:39,Dolphins,Mike Wallace 7 yard pass from Ryan Tannehill (Caleb Sturgis kick),20,28
,4:46,Vikings,Jarius Wright 8 yard pass from Teddy Bridgewater (Matt Asiata run),28,28
,4:35,Vikings,Matt Asiata 5 yard rush (Blair Walsh kick),35,28
,1:11,Dolphins,Damien Williams 3 yard pass from Ryan Tannehill (Caleb Sturgis kick),35,35
,0:41,Dolphins,"Safety, Punt blocked by Terrence Fede out of bounds in the end zone.",35,37
