Unnamed: 0,MIN,MIA
First Downs,20,36
Rush-Yds-TDs,28-119-2,29-110-1
Cmp-Att-Yd-TD-INT,19-26-259-2-1,35-47-396-4-1
Sacked-Yards,4-21,1-13
Net Pass Yards,238,383
Total Yards,357,493
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,8-74,7-54
Third Down Conv.,7-12,9-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:54,33:06
