Quarter,Time,Down,ToGo,Location,MIN,MIA,Detail,EPB,EPA
2,15:00,2,3,MIN 41,7,0,Teddy Bridgewater right end for 2 yards (tackle by Jelani Jenkins),1.600,1.160
2,14:20,3,1,MIN 43,7,0,Cordarrelle Patterson left end for -2 yards (tackle by Earl Mitchell),1.160,-0.650
2,13:53,4,3,MIN 41,7,0,"Jeff Locke punts 40 yards, fair catch by Jarvis Landry",-0.650,-0.150
2,13:39,1,10,MIA 19,7,0,Ryan Tannehill pass complete short left to Lamar Miller for 16 yards (tackle by Chad Greenway). Penalty on Chad Greenway: Defensive Holding (Declined),0.150,1.270
2,13:15,1,10,MIA 35,7,0,Ryan Tannehill pass complete short right to Mike Wallace for 10 yards (tackle by Captain Munnerlyn),1.270,1.930
2,12:32,1,10,MIA 45,7,0,Ryan Tannehill pass incomplete short right intended for Jarvis Landry is intercepted by Harrison Smith at MIA-34 and returned for 11 yards,1.930,-4.040
2,12:23,1,10,MIA 23,7,0,Joe Banyard right end for 2 yards (tackle by Jelani Jenkins and Koa Misi),4.040,3.770
2,11:46,2,8,MIA 21,7,0,Teddy Bridgewater pass incomplete short left intended for Joe Banyard,3.770,3.070
2,11:40,3,8,MIA 21,13,0,"Teddy Bridgewater pass complete deep right to Greg Jennings for 21 yards, touchdown",3.070,7.000
2,11:40,,,MIA 2,14,0,Blair Walsh kicks extra point good,0.000,0.000
2,11:40,,,MIN 35,14,0,"Blair Walsh kicks off 73 yards, returned by Jarvis Landry for 24 yards (tackle by Scott Crichton). Penalty on Jordan Kovacs: Offensive Holding, 8 yards",0.000,0.380
2,11:28,1,10,MIA 8,14,0,Lamar Miller up the middle for 4 yards (tackle by Brian Robison),-0.380,-0.490
2,11:00,2,6,MIA 12,14,0,Ryan Tannehill pass complete short left to Charles Clay for 5 yards (tackle by Gerald Hodges),-0.490,-0.370
2,10:35,3,1,MIA 17,14,0,Lamar Miller right guard for 2 yards (tackle by Harrison Smith),-0.370,0.150
2,9:51,1,10,MIA 19,14,0,Lamar Miller up the middle for 3 yards (tackle by Everson Griffen),0.150,0.070
2,9:15,2,7,MIA 22,14,0,Ryan Tannehill pass complete deep left to Charles Clay for 33 yards (tackle by Andrew Sendejo),0.070,2.590
2,9:00,1,10,MIN 45,14,0,Lamar Miller up the middle for 3 yards (tackle by Brian Robison),2.590,2.450
2,8:02,2,7,MIN 42,14,0,Ryan Tannehill pass complete short left to Lamar Miller for 12 yards (tackle by Linval Joseph),2.450,3.580
2,7:21,1,10,MIN 30,14,0,Ryan Tannehill pass complete short middle to Dion Sims for 4 yards (tackle by Jasper Brinkley),3.580,3.570
2,6:45,2,6,MIN 26,14,0,LaMichael James left tackle for 5 yards (tackle by Jasper Brinkley),3.570,3.530
2,6:06,3,1,MIN 21,14,0,Ryan Tannehill pass complete short left to Charles Clay for 2 yards (tackle by Harrison Smith),3.530,4.310
2,5:53,1,10,MIN 19,14,0,Lamar Miller right end for 5 yards (tackle by Linval Joseph),4.310,4.530
2,4:59,2,5,MIN 14,14,6,"Ryan Tannehill pass complete short left to Dion Sims for 14 yards, touchdown",4.530,7.000
2,4:59,,,MIN 2,14,7,Caleb Sturgis kicks extra point good,0.000,0.000
2,4:59,,,MIA 35,14,7,"Caleb Sturgis kicks off 43 yards, returned by Justin Trattou for 13 yards (tackle by Dion Jordan)",0.000,-1.270
2,4:48,1,10,MIN 35,14,7,Matt Asiata left guard for 1 yard (tackle by Jelani Jenkins),1.270,0.860
2,4:10,2,9,MIN 36,14,7,Teddy Bridgewater sacked by Cameron Wake for -5 yards. Penalty on Mike Harris: Offensive Holding (Declined),0.860,-0.490
2,3:43,3,14,MIN 31,14,7,Teddy Bridgewater pass incomplete short left intended for Charles Johnson,-0.490,-1.310
2,3:35,4,14,MIN 31,14,7,"Jeff Locke punts 57 yards, muffed catch by Jarvis Landry, recovered by Jarvis Landry and returned for no gain",-1.310,0.380
2,3:25,1,10,MIA 9,14,7,Lamar Miller left guard for 4 yards (tackle by Gerald Hodges),-0.380,-0.480
2,2:52,2,6,MIA 13,14,7,Ryan Tannehill pass complete short right to Jarvis Landry for 7 yards (tackle by Robert Blanton and Captain Munnerlyn),-0.480,0.280
2,2:19,1,10,MIA 20,14,7,"Ryan Tannehill pass complete short right to Jarvis Landry for 3 yards (tackle by Gerald Hodges). Penalty on Everson Griffen: Defensive Offside, 5 yards (no play)",0.280,1.010
2,2:06,1,5,MIA 25,14,7,Lamar Miller right tackle for 6 yards (tackle by Corey Wootton),1.010,1.000
2,2:00,1,10,MIA 31,14,7,"Ryan Tannehill pass incomplete short left intended for Brian Hartline. Penalty on Sharrif Floyd: Roughing the Passer, 15 yards, Penalty on Sharrif Floyd: Unnecessary Roughness (Declined) (no play)",1.000,1.990
2,1:53,1,10,MIA 46,14,7,Ryan Tannehill pass complete short left to Jarvis Landry for -2 yards (tackle by Xavier Rhodes),1.990,1.180
2,1:31,2,12,MIA 44,14,7,Ryan Tannehill pass complete short left to Brandon Gibson for 10 yards (tackle by Xavier Rhodes),1.180,1.180
2,1:20,2,12,MIA 44,14,7,Timeout #1 by Miami Dolphins,1.180,1.820
2,1:20,3,2,MIN 46,14,7,Ryan Tannehill pass incomplete short right intended for Lamar Miller,1.820,0.200
2,1:14,4,2,MIN 46,14,7,"Brandon Fields punts 33 yards, fair catch by Marcus Sherels",0.200,0.320
2,1:06,1,10,MIN 13,14,7,Joe Banyard up the middle for 4 yards (tackle by Derrick Shelby),-0.320,-0.320
2,0:58,1,10,MIN 13,14,7,Timeout #2 by Miami Dolphins,-0.320,-0.300
2,0:58,2,6,MIN 17,14,7,Joe Banyard up the middle for 1 yard (tackle by Philip Wheeler),-0.300,-0.300
2,0:53,2,6,MIN 17,14,7,Timeout #3 by Miami Dolphins,-0.300,-0.830
2,0:53,3,5,MIN 18,14,7,Joe Banyard up the middle for 16 yards (tackle by Jimmy Wilson),-0.830,-0.830
2,0:47,3,5,MIN 18,14,7,Timeout #1 by Minnesota Vikings,-0.830,1.200
2,0:47,1,10,MIN 34,14,7,Teddy Bridgewater pass complete short right to Charles Johnson for 25 yards (tackle by Jimmy Wilson),1.200,1.200
2,0:35,1,10,MIN 34,14,7,Timeout #2 by Minnesota Vikings,1.200,2.850
2,0:35,1,10,MIA 41,14,7,Teddy Bridgewater pass complete short right to Cordarrelle Patterson for 18 yards (tackle by Koa Misi),2.850,4.040
2,0:19,1,10,MIA 23,14,7,Teddy Bridgewater spiked the ball,4.040,3.500
2,0:19,2,10,MIA 23,14,7,Teddy Bridgewater pass complete deep right to Chase Ford for 22 yards (tackle by Jelani Jenkins),3.500,6.970
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
2,0:14,1,1,MIA 1,14,7,Matt Asiata up the middle for no gain (tackle by Derrick Shelby),6.970,6.970
2,0:08,1,1,MIA 1,14,7,Timeout #3 by Minnesota Vikings,6.970,5.910
2,0:08,2,1,MIA 1,14,7,Teddy Bridgewater pass incomplete short right intended for Charles Johnson,5.910,5.170
2,0:06,3,1,MIA 1,17,7,Blair Walsh 18 yard field goal good,5.170,3.000
2,0:06,,,MIN 35,17,7,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
2,0:02,1,10,MIA 20,17,7,Ryan Tannehill kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,MIN,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,17,7,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,MIN 20,17,7,Matt Asiata right end for 1 yard (tackle by Jelani Jenkins),0.280,-0.130
3,14:31,2,9,MIN 21,17,7,Teddy Bridgewater pass complete short middle to Rhett Ellison for 7 yards (tackle by Koa Misi),-0.130,0.100
3,13:55,3,2,MIN 28,17,7,"Teddy Bridgewater pass complete short left to Greg Jennings for 3 yards (tackle by Cortland Finnegan). Penalty on Charles Johnson: Offensive Pass Interference, 10 yards (no play)",0.100,-1.330
3,13:18,3,12,MIN 18,17,7,Teddy Bridgewater pass complete short right to Greg Jennings for 11 yards (tackle by Jamar Taylor),-1.330,-1.440
3,12:50,4,1,MIN 29,17,7,"Jeff Locke punts 51 yards, returned by Jarvis Landry for no gain",-1.440,-0.280
3,12:32,1,10,MIA 20,17,7,Ryan Tannehill pass complete short right to Lamar Miller for 6 yards (tackle by Xavier Rhodes),0.280,0.540
3,12:20,2,4,MIA 26,17,7,Lamar Miller up the middle for 6 yards (tackle by Gerald Hodges),0.540,1.070
3,11:30,1,10,MIA 32,17,7,"Ryan Tannehill pass incomplete deep middle intended for Mike Wallace (defended by Xavier Rhodes). Penalty on Xavier Rhodes: Defensive Holding, 5 yards (no play)",1.070,1.400
3,11:22,1,10,MIA 37,17,7,Ryan Tannehill pass complete deep right to Charles Clay for 41 yards (tackle by Captain Munnerlyn),1.400,4.110
3,10:33,1,10,MIN 22,17,7,Lamar Miller right end for 8 yards (tackle by Robert Blanton),4.110,4.850
3,10:00,2,2,MIN 14,17,7,"Lamar Miller up the middle for 2 yards (tackle by Gerald Hodges). Penalty on Everson Griffen: Defensive Offside, 5 yards (no play)",4.850,5.140
3,9:43,1,9,MIN 9,17,7,Ryan Tannehill pass complete short left to Jarvis Landry for 3 yards (tackle by Robert Blanton),5.140,4.950
3,9:05,2,6,MIN 6,17,7,"Ryan Tannehill up the middle for 3 yards (tackle by Harrison Smith). Penalty on Ja'Wuan James: Offensive Holding, 10 yards (no play)",4.950,3.340
3,8:38,2,16,MIN 16,17,13,"Ryan Tannehill pass complete short left to Mike Wallace for 16 yards, touchdown",3.340,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
3,8:38,,,MIN 2,17,14,Caleb Sturgis kicks extra point good,0.000,0.000
3,8:38,,,MIA 35,17,14,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
3,8:29,1,10,MIN 20,17,14,Teddy Bridgewater sacked by Dion Jordan for -7 yards,0.280,-1.280
3,7:48,2,17,MIN 13,17,14,Teddy Bridgewater pass complete short left to Matt Asiata for 4 yards (tackle by Dion Jordan),-1.280,-1.510
3,7:16,3,13,MIN 17,17,14,Teddy Bridgewater pass complete deep left to Greg Jennings for 24 yards (tackle by Brent Grimes),-1.510,1.660
3,6:20,1,10,MIN 41,17,14,Teddy Bridgewater left end for 6 yards (tackle by Jimmy Wilson),1.660,1.930
3,5:42,2,4,MIN 47,17,14,Matt Asiata right end for 5 yards (tackle by Koa Misi),1.930,2.390
3,5:00,1,10,MIA 48,17,14,Matt Asiata right tackle for 2 yards (tackle by Jared Odrick),2.390,2.120
3,4:13,2,8,MIA 46,17,14,Teddy Bridgewater pass complete short left to Adam Thielen for 12 yards (tackle by Cortland Finnegan),2.120,3.310
3,3:48,1,10,MIA 34,17,14,Teddy Bridgewater pass incomplete short middle intended for Matt Asiata is intercepted by Derrick Shelby at MIA-34 and returned for 2 yards,3.310,-1.330
3,3:36,1,10,MIA 36,17,14,Lamar Miller left end for 14 yards (tackle by Audie Cole),1.330,2.260
3,3:01,1,10,MIN 50,17,14,Ryan Tannehill pass complete short right to Dion Sims for 17 yards (tackle by Xavier Rhodes),2.260,3.380
3,2:29,1,10,MIN 33,17,14,Lamar Miller left tackle for 3 yards (tackle by Audie Cole),3.380,3.240
3,1:50,2,7,MIN 30,17,14,"Ryan Tannehill pass complete short right to Jarvis Landry for 2 yards (tackle by Gerald Hodges). Penalty on Gerald Hodges: Unnecessary Roughness, 14 yards",3.240,4.650
3,1:23,1,10,MIN 14,17,14,Lamar Miller right tackle for no gain (tackle by Sharrif Floyd),4.650,4.000
3,0:47,2,10,MIN 14,17,14,Ryan Tannehill pass complete short right to Charles Clay for 11 yards (tackle by Gerald Hodges),4.000,6.510
3,0:21,1,3,MIN 3,17,14,Ryan Tannehill pass incomplete short right intended for Charles Clay,6.510,5.530
3,0:16,2,3,MIN 3,17,14,Lamar Miller right tackle for 2 yards (tackle by Harrison Smith),5.530,5.170
Quarter,Time,Down,ToGo,Location,MIN,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,1,MIN 1,17,20,"Lamar Miller up the middle for 1 yard, touchdown",5.170,7.000
4,15:00,,,MIN 2,17,21,Caleb Sturgis kicks extra point good,0.000,0.000
4,15:00,,,MIA 35,17,21,"Caleb Sturgis kicks off 73 yards, returned by Cordarrelle Patterson for 29 yards (tackle by Dion Jordan)",0.000,-0.340
4,14:52,1,10,MIN 21,17,21,Joe Banyard left guard for no gain (tackle by Reshad Jones),0.340,-0.200
4,14:23,2,10,MIN 21,17,21,Teddy Bridgewater pass complete short right to Charles Johnson for 7 yards (tackle by Brent Grimes),-0.200,0.040
4,13:47,3,3,MIN 28,17,21,Teddy Bridgewater pass complete short middle to Jarius Wright for 10 yards (tackle by Jimmy Wilson),0.040,1.470
4,13:14,1,10,MIN 38,17,21,Teddy Bridgewater pass complete short left to Joe Banyard for -1 yards (tackle by Jamar Taylor),1.470,0.790
4,12:42,2,11,MIN 37,17,21,"Teddy Bridgewater pass incomplete short right intended for Adam Thielen. Penalty on Jimmy Wilson: Unnecessary Roughness, 15 yards (no play)",0.790,2.390
4,12:30,1,10,MIA 48,17,21,Jarius Wright left end for 27 yards (tackle by Jelani Jenkins),2.390,4.170
4,11:53,1,10,MIA 21,17,21,Teddy Bridgewater left end for 1 yard (tackle by Jason Trusnik),4.170,3.760
4,11:15,2,9,MIA 20,17,21,Teddy Bridgewater sacked by Randy Starks for -5 yards,3.760,2.410
4,10:32,3,14,MIA 25,17,21,Teddy Bridgewater pass complete short right to Joe Banyard for 10 yards (tackle by Reshad Jones),2.410,2.520
4,9:56,4,4,MIA 15,20,21,Blair Walsh 33 yard field goal good,2.520,3.000
4,9:56,,,MIN 35,20,21,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
4,9:52,1,10,MIA 20,20,21,Ryan Tannehill pass incomplete short left intended for Charles Clay,0.280,-0.270
4,9:43,2,10,MIA 20,20,21,Lamar Miller left tackle for 6 yards (tackle by Robert Blanton),-0.270,-0.160
4,9:03,3,4,MIA 26,20,21,Ryan Tannehill pass complete short middle to Damian Williams for 10 yards (tackle by Jasper Brinkley),-0.160,1.330
4,8:33,1,10,MIA 36,20,21,Damian Williams for 12 yards (tackle by Robert Blanton),1.330,2.130
4,7:59,1,10,MIA 48,20,21,Ryan Tannehill pass complete deep left to Brandon Gibson for 40 yards (tackle by Robert Blanton). Penalty on Captain Munnerlyn: Defensive Holding (Declined),2.130,4.780
4,7:32,1,10,MIN 12,20,21,Damian Williams right guard for 5 yards (tackle by Brandon Watts),4.780,5.020
4,6:50,2,5,MIN 7,20,21,Ryan Tannehill pass incomplete short left intended for Brandon Gibson,5.020,4.160
4,6:44,3,5,MIN 7,20,27,"Ryan Tannehill pass complete short middle to Mike Wallace for 7 yards, touchdown",4.160,7.000
4,6:44,,,MIN 2,20,28,Caleb Sturgis kicks extra point good,0.000,0.000
4,6:44,,,MIA 35,20,28,"Caleb Sturgis kicks off 38 yards, returned by Jerome Felton for 13 yards (tackle by Jonathan Freeny)",0.000,-1.600
4,6:34,1,10,MIN 40,20,28,Teddy Bridgewater pass complete short middle to Matt Asiata for 9 yards (tackle by Koa Misi),1.600,2.270
4,6:03,2,1,MIN 49,20,28,Matt Asiata left guard for 3 yards (tackle by Cameron Wake),2.270,2.390
4,5:31,1,10,MIA 48,20,28,Teddy Bridgewater pass incomplete short left intended for Charles Johnson,2.390,1.850
4,5:27,2,10,MIA 48,20,28,Teddy Bridgewater pass complete short right to Rhett Ellison for 40 yards (tackle by Reshad Jones),1.850,5.370
4,4:59,1,8,MIA 8,26,28,"Teddy Bridgewater pass complete short right to Jarius Wright for 8 yards, touchdown. Penalty on Brent Grimes: Defensive Pass Interference (Declined)",5.370,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,4:59,1,8,MIA 8,26,28,"Penalty on Olivier Vernon: Encroachment, 1 yards (no play)",5.370,0.000
4,4:59,,,,26,28,"Two Point Attempt: Teddy Bridgewater left tackle, conversion fails. Penalty on Cameron Wake: Defensive Offside (no play)",0.000,-1.000
4,4:46,1,8,MIA 8,26,28,Timeout #1 by Miami Dolphins,5.370,0.000
4,4:59,,,,28,28,"Two Point Attempt: Matt Asiata left tackle, conversion succeeds. Penalty on Olivier Vernon: Unnecessary Roughness, 15 yards",0.000,1.000
4,4:59,,,MIA 8,28,28,--,0.000,6.060
4,4:40,1,5,MIA 5,34,28,"Matt Asiata up the middle for 5 yards, touchdown",6.060,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
4,4:40,,,MIA 2,35,28,Blair Walsh kicks extra point good,0.000,0.000
4,4:40,,,MIN 35,35,28,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
4,4:35,1,10,MIA 20,35,28,Ryan Tannehill pass complete deep left to Charles Clay for 22 yards (tackle by Robert Blanton),0.280,1.730
4,4:04,1,10,MIA 42,35,28,Ryan Tannehill pass complete short right to Jarvis Landry for 11 yards (tackle by Jasper Brinkley),1.730,2.460
4,3:40,1,10,MIN 47,35,28,"Ryan Tannehill pass incomplete short left intended for Brian Hartline. Penalty on Josh Robinson: Defensive Pass Interference (Offsetting), Penalty on Brian Hartline: Offensive Pass Interference (Offsetting) (no play)",2.460,2.460
4,3:34,1,10,MIN 47,35,28,Ryan Tannehill pass incomplete short right intended for Brandon Gibson,2.460,1.910
4,3:30,2,10,MIN 47,35,28,Ryan Tannehill pass complete short left to Damian Williams for 8 yards,1.910,2.280
4,3:25,3,2,MIN 39,35,28,Ryan Tannehill pass complete short right to Damian Williams for 3 yards (tackle by Robert Blanton),2.280,3.180
4,3:16,1,10,MIN 36,35,28,Ryan Tannehill pass complete short middle to Jarvis Landry for 5 yards (tackle by Harrison Smith),3.180,3.310
4,2:45,2,5,MIN 31,35,28,Ryan Tannehill pass complete short middle to Damian Williams for 6 yards (tackle by Sharrif Floyd),3.310,3.910
4,2:21,1,10,MIN 25,35,28,Ryan Tannehill pass complete short right to Mike Wallace for 11 yards (tackle by Xavier Rhodes),3.910,4.650
4,2:00,1,10,MIN 14,35,28,Ryan Tannehill sacked by Tom Johnson for -13 yards,4.650,2.340
4,1:36,2,23,MIN 27,35,28,Ryan Tannehill pass complete short left to Mike Wallace for 14 yards (tackle by Josh Robinson),2.340,2.340
4,1:21,2,23,MIN 27,35,28,Timeout #2 by Miami Dolphins,2.340,3.260
4,1:21,3,9,MIN 13,35,28,"Penalty on Daryn Colledge: False Start, 5 yards (no play)",3.260,2.840
4,1:21,3,14,MIN 18,35,28,"Ryan Tannehill pass incomplete deep left intended for Mike Wallace. Penalty on Xavier Rhodes: Defensive Pass Interference, 15 yards (no play)",2.840,6.510
4,1:16,1,3,MIN 3,35,34,"Ryan Tannehill pass complete short middle to Damian Williams for 3 yards, touchdown",6.510,7.000
4,1:16,,,MIN 2,35,35,Caleb Sturgis kicks extra point good,0.000,0.000
4,1:16,,,MIA 35,35,35,"Caleb Sturgis kicks off 70 yards, returned by Cordarrelle Patterson for 18 yards (tackle by Dion Jordan)",0.000,0.320
4,1:05,1,10,MIN 13,35,35,Teddy Bridgewater left end for 2 yards (tackle by Jared Odrick),-0.320,-0.320
4,0:57,1,10,MIN 13,35,35,Timeout #1 by Minnesota Vikings,-0.320,-0.570
4,0:57,2,8,MIN 15,35,35,Teddy Bridgewater pass incomplete short right intended for Chase Ford,-0.570,-1.180
4,0:51,3,8,MIN 15,35,35,Teddy Bridgewater sacked by Cameron Wake for -4 yards,-1.180,-1.180
4,0:45,3,8,MIN 15,35,35,Timeout #3 by Miami Dolphins,-1.180,-2.490
4,0:45,4,12,MIN 11,35,37,"Jeff Locke punts, blocked by Terrence Fede, safety",-2.490,-2.000
4,0:45,,,MIN 20,35,37,Blair Walsh kicks onside 14 yards,0.000,-3.310
4,0:41,1,10,MIN 34,35,37,Ryan Tannehill kneels for -1 yards,3.310,3.310
4,0:39,1,10,MIN 34,35,37,Timeout #2 by Minnesota Vikings,3.310,2.640
4,0:39,2,11,MIN 35,35,37,Ryan Tannehill kneels for -1 yards,2.640,2.640
4,0:38,2,11,MIN 35,35,37,Timeout #3 by Minnesota Vikings,2.640,1.820
4,0:38,3,12,MIN 36,35,37,Ryan Tannehill kneels for -1 yards,1.820,0.790
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
