Quarter,Time,Tm,Detail,STL,SEA
1.0,11:33,Rams,Torry Holt 15 yard pass from Marc Bulger (Jeff Wilkins kick),7,0
,2:05,Seahawks,Josh Brown 47 yard field goal,7,3
2.0,13:32,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),14,3
,8:18,Seahawks,Bobby Engram 19 yard pass from Matt Hasselbeck (Josh Brown kick),14,10
3.0,8:52,Seahawks,Josh Brown 30 yard field goal,14,13
,2:35,Rams,Jeff Wilkins 38 yard field goal,17,13
4.0,13:43,Seahawks,Darrell Jackson 23 yard pass from Matt Hasselbeck (Josh Brown kick),17,20
,8:07,Rams,Jeff Wilkins 27 yard field goal,20,20
,2:11,Rams,Cam Cleeland 17 yard pass from Marc Bulger (Jeff Wilkins kick),27,20
