Unnamed: 0,STL,SEA
First Downs,22,24
Rush-Yds-TDs,27-102-1,20-81-0
Cmp-Att-Yd-TD-INT,18-32-313-2-1,27-43-341-2-1
Sacked-Yards,5-19,3-9
Net Pass Yards,294,332
Total Yards,396,413
Fumbles-Lost,0-0,2-0
Turnovers,1,1
Penalties-Yards,4-30,9-61
Third Down Conv.,9-14,5-12
Fourth Down Conv.,0-0,0-2
Time of Possession,31:06,28:54
