Unnamed: 0,LAC,KAN
First Downs,16,25
Rush-Yds-TDs,26-139-1,21-68-0
Cmp-Att-Yd-TD-INT,17-30-259-1-2,32-42-424-4-1
Sacked-Yards,5-40,1-9
Net Pass Yards,219,415
Total Yards,358,483
Fumbles-Lost,0-0,1-1
Turnovers,2,2
Penalties-Yards,4-43,6-43
Third Down Conv.,6-14,6-11
Fourth Down Conv.,1-1,0-0
Time of Possession,28:20,31:40
