Quarter,Time,Tm,Detail,LAC,KAN
1.0,6:49,Chiefs,Harrison Butker 35 yard field goal,0,3
,1:48,Chargers,Cameron Dicker 55 yard field goal,3,3
2.0,14:11,Chiefs,Marquez Valdes-Scantling 46 yard pass from Patrick Mahomes (Harrison Butker kick),3,10
,10:42,Chargers,Joshua Kelley 49 yard rush (Cameron Dicker kick),10,10
,8:37,Chiefs,Rashee Rice 6 yard pass from Patrick Mahomes (Harrison Butker kick),10,17
,7:06,Chargers,Gerald Everett 7 yard pass from Justin Herbert (Cameron Dicker kick),17,17
,0:15,Chiefs,Travis Kelce 1 yard pass from Patrick Mahomes (Harrison Butker kick),17,24
4.0,3:30,Chiefs,Isiah Pacheco 8 yard pass from Patrick Mahomes (Harrison Butker kick),17,31
