Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Justin Herbert pass complete short right to Austin Ekeler for 1 yard (tackle by L'Jarius Sneed),0.610,0.200
1,14:34,2,9,LAC 26,0,0,Austin Ekeler right guard for 5 yards (tackle by L'Jarius Sneed and Nick Bolton),0.200,0.170
1,14:08,3,4,LAC 31,0,0,"Justin Herbert pass incomplete short right intended for Josh Palmer. Penalty on L'Jarius Sneed: Defensive Pass Interference, 4 yards (accepted) (no play)",0.170,1.270
1,14:05,1,10,LAC 35,0,0,Austin Ekeler right tackle for 2 yards (tackle by Michael Danna),1.270,0.990
1,13:33,2,8,LAC 37,0,0,Justin Herbert scrambles right end for 6 yards (tackle by Willie Gay),0.990,1.090
1,12:55,3,2,LAC 43,0,0,Justin Herbert sacked by George Karlaftis for -6 yards,1.090,-0.910
1,12:13,4,8,LAC 37,0,0,"JK Scott punts 46 yards, fair catch by Mecole Hardman at KC-17",-0.910,0.060
1,11:59,1,10,KAN 17,0,0,Patrick Mahomes pass complete short left to Rashee Rice for 3 yards (tackle by Michael Davis),-0.060,-0.060
1,11:37,2,7,KAN 20,0,0,Isiah Pacheco right end for 1 yard (tackle by Tuli Tuipulotu),-0.060,-0.750
1,10:53,3,6,KAN 21,0,0,Patrick Mahomes pass complete deep left to Travis Kelce for 28 yards (tackle by Asante Samuel),-0.750,2.190
1,10:16,1,10,KAN 49,0,0,Isiah Pacheco left end for 3 yards (tackle by Eric Kendricks),2.190,2.050
1,9:33,2,7,LAC 48,0,0,"Patrick Mahomes pass complete short right to Jerick McKinnon for 27 yards. Penalty on Joe Thuney: Offensive Illegal Block Above the Waist, 10 yards (accepted)",2.050,3.510
1,9:31,1,10,LAC 31,0,0,Patrick Mahomes pass complete short right to Noah Gray for 8 yards (tackle by Michael Davis),3.510,4.050
1,8:57,2,2,LAC 23,0,0,Isiah Pacheco left end for 3 yards (tackle by Kenneth Murray),4.050,4.240
1,8:21,1,10,LAC 20,0,0,"Patrick Mahomes pass incomplete. Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) (no play)",4.240,3.580
1,8:12,1,20,LAC 30,0,0,Patrick Mahomes pass complete short right to Rashee Rice for 2 yards (tackle by Dean Marlowe),3.580,2.610
1,7:39,2,18,LAC 28,0,0,Patrick Mahomes pass complete short right to Skyy Moore for 11 yards,2.610,3.360
1,7:01,3,7,LAC 17,0,0,Patrick Mahomes pass incomplete short left intended for Mecole Hardman,3.360,2.310
1,6:52,4,7,LAC 17,0,3,Harrison Butker 35 yard field goal good,2.310,3.000
1,6:49,,,KAN 35,0,3,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,6:49,1,10,LAC 25,0,3,Austin Ekeler right guard for 2 yards (tackle by Willie Gay),0.610,0.330
1,6:10,2,8,LAC 27,0,3,Derius Davis right end for 11 yards (tackle by Nick Bolton),0.330,1.470
1,5:35,1,10,LAC 38,0,3,Justin Herbert pass complete deep left to Keenan Allen for 26 yards (tackle by Bryan Cook),1.470,3.180
1,5:12,1,10,KAN 36,0,3,Derius Davis left end for no gain (tackle by Tershawn Wharton and Willie Gay),3.180,2.640
1,4:33,2,10,KAN 36,0,3,Austin Ekeler up the middle for 3 yards (tackle by Tershawn Wharton and Nick Bolton),2.640,2.350
1,3:53,3,7,KAN 33,0,3,Justin Herbert pass complete short left to Josh Palmer for 7 yards (tackle by Trent McDuffie),2.350,3.840
1,3:17,1,10,KAN 26,0,3,Joshua Kelley up the middle for 2 yards (tackle by L'Jarius Sneed and Derrick Nnadi),3.840,3.570
1,2:42,2,8,KAN 24,0,3,Justin Herbert sacked by Willie Gay for -13 yards,3.570,1.160
1,2:00,3,21,KAN 37,0,3,Justin Herbert pass incomplete short right intended for Austin Ekeler,1.160,0.790
1,1:53,4,21,KAN 37,3,3,Cameron Dicker 55 yard field goal good,0.790,3.000
1,1:48,,,LAC 35,3,3,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
1,1:48,1,10,KAN 25,3,3,Patrick Mahomes pass complete short middle to Kadarius Toney for 13 yards (tackle by Ja'Sir Taylor),0.610,1.470
1,1:16,1,10,KAN 38,3,3,Isiah Pacheco right guard for 4 yards (tackle by Austin Johnson and Eric Kendricks),1.470,1.460
1,0:41,2,6,KAN 42,3,3,Patrick Mahomes pass complete short left to Travis Kelce for 3 yards (tackle by Dean Marlowe),1.460,1.160
Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,KAN 45,3,3,Patrick Mahomes pass complete short middle to Travis Kelce for 9 yards (tackle by Dean Marlowe),1.160,2.520
2,14:23,1,10,LAC 46,3,9,"Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 46 yards, touchdown",2.520,7.000
2,14:11,,,LAC 15,3,10,Harrison Butker kicks extra point good,0.000,0.000
2,14:11,,,KAN 35,3,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,14:11,1,10,LAC 25,3,10,Austin Ekeler right guard for 2 yards (tackle by George Karlaftis and Justin Reid),0.610,0.330
2,13:28,2,8,LAC 27,3,10,"Justin Herbert pass complete short right to Gerald Everett for no gain. Penalty on Zion Johnson: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.330,-1.150
2,13:14,2,18,LAC 17,3,10,Justin Herbert pass complete short right to Derius Davis for 10 yards (tackle by Jaylen Watson),-1.150,-0.360
2,12:33,3,8,LAC 27,3,10,Justin Herbert pass complete short right to Donald Parham for 9 yards (tackle by Justin Reid),-0.360,1.330
2,11:53,1,10,LAC 36,3,10,Joshua Kelley right guard for 7 yards (tackle by Trent McDuffie),1.330,1.740
2,11:33,2,3,LAC 43,3,10,Justin Herbert pass complete short right to Gerald Everett for 8 yards (tackle by Justin Reid),1.740,2.320
2,10:51,1,10,KAN 49,9,10,"Joshua Kelley left guard for 49 yards, touchdown",2.320,7.000
2,10:42,,,KAN 15,10,10,Cameron Dicker kicks extra point good,0.000,0.000
2,10:42,,,LAC 35,10,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
2,10:42,1,10,KAN 25,10,10,Isiah Pacheco left tackle for 3 yards (tackle by Joey Bosa),0.610,0.470
2,10:09,2,7,KAN 28,10,10,Patrick Mahomes pass complete short left to Travis Kelce for 13 yards (tackle by Derwin James),0.470,1.660
2,9:25,1,10,KAN 41,10,10,Patrick Mahomes pass complete short left to Travis Kelce for 53 yards (tackle by Dean Marlowe),1.660,5.830
2,8:44,1,6,LAC 6,10,16,"Patrick Mahomes pass complete short left to Rashee Rice for 6 yards, touchdown",5.830,7.000
2,8:37,,,LAC 15,10,17,Harrison Butker kicks extra point good,0.000,0.000
2,8:37,,,KAN 35,10,17,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,8:37,1,10,LAC 25,10,17,Austin Ekeler up the middle for 6 yards (tackle by Charles Omenihu),0.610,0.870
2,8:18,2,4,LAC 31,10,17,Justin Herbert pass complete deep left to Josh Palmer for 60 yards (tackle by Bryan Cook),0.870,5.140
2,7:48,1,9,KAN 9,10,17,Justin Herbert pass incomplete short left intended for Keenan Allen,5.140,4.380
2,7:44,2,9,KAN 9,10,17,Austin Ekeler left end for 2 yards (tackle by Michael Danna),4.380,3.810
