Quarter,Time,Tm,Detail,IND,SDG
1.0,14:47,Chargers,Darren Sproles 89 yard kickoff return (Nate Kaeding kick),0,7
,7:14,Chargers,Nate Kaeding 33 yard field goal,0,10
,5:55,Chargers,Darren Sproles 45 yard punt return (pass failed),0,16
2.0,8:47,Chargers,LaDainian Tomlinson 4 yard rush (Nate Kaeding kick),0,23
,2:42,Colts,Reggie Wayne 8 yard pass from Peyton Manning (Adam Vinatieri kick),7,23
4.0,14:53,Colts,Kenton Keith 7 yard pass from Peyton Manning (Bryan Fletcher pass from Peyton Manning),15,23
,14:28,Colts,Gary Brackett defensive fumble recovery in end zone (pass failed),21,23
