Quarter,Time,Down,ToGo,Location,IND,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,IND 30,0,6,"Adam Vinatieri kicks off 59 yards, returned by Darren Sproles for 89 yards, touchdown",0.000,7.000
1,15:00,,,IND 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,,,"Nate Kaeding kicks off 62 yards, returned by Craphonso Thorpe for 40 yards (tackle by Carlos Polk)",,
1,14:39,1,10,IND 48,0,7,Joseph Addai right tackle for -1 yards (tackle by Jamal Williams),2.130,1.450
1,13:59,2,11,IND 47,0,7,Peyton Manning pass complete short left to Ben Utecht for 9 yards (tackle by Antonio Cromartie),1.450,1.950
1,13:26,3,2,SDG 44,0,7,Peyton Manning pass complete short left to Ben Utecht for 11 yards (tackle by Clinton Hart),1.950,3.380
1,12:41,1,10,SDG 33,0,7,"Peyton Manning pass incomplete intended for Reggie Wayne. Penalty on Antonio Cromartie: Defensive Pass Interference, 16 yards (no play)",3.380,4.440
1,12:35,1,10,SDG 17,0,7,Joseph Addai middle for 2 yards (tackle by Shawne Merriman and Clinton Hart),4.440,4.150
1,11:52,2,8,SDG 15,0,7,Peyton Manning pass complete short right to Bryan Fletcher for 1 yard (tackle by Drayton Florence),4.150,3.500
1,11:22,3,7,SDG 14,0,7,Peyton Manning pass incomplete short left intended for Aaron Moorehead is intercepted by Antonio Cromartie at SDG-0 and returned for 6 yards,3.500,0.380
1,11:08,1,10,SDG 6,0,7,LaDainian Tomlinson middle for -1 yards (tackle by Dwight Freeney),-0.380,-0.850
1,10:34,2,11,SDG 5,0,7,LaDainian Tomlinson left end for 4 yards (tackle by Keyunta Dawson and Antoine Bethea),-0.850,-1.070
1,9:54,3,7,SDG 9,0,7,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,-1.070,-2.490
1,9:50,4,7,SDG 9,0,7,"Penalty on Antonio Cromartie: False Start, 4 yards (no play)",-2.490,-2.490
1,9:50,4,11,SDG 5,0,7,"Mike Scifres punts 36 yards, returned by Craphonso Thorpe for -3 yards (tackle by Kassim Osgood)",-2.490,-2.650
1,9:40,1,10,SDG 44,0,7,Peyton Manning pass incomplete short right intended for Aaron Moorehead,2.650,2.110
1,9:35,2,10,SDG 44,0,7,Peyton Manning pass incomplete short left intended for Bryan Fletcher is intercepted by Shaun Phillips at 50 and returned for 18 yards,2.110,-3.450
1,9:28,1,10,IND 32,0,7,LaDainian Tomlinson middle for 6 yards (tackle by Bob Sanders),3.450,3.710
1,8:49,2,4,IND 26,0,7,"Penalty on Shane Olivea: False Start, 5 yards (no play)",3.710,3.040
1,8:48,2,9,IND 31,0,7,LaDainian Tomlinson middle for 16 yards (tackle by Bob Sanders and Antoine Bethea),3.040,4.580
1,8:07,1,10,IND 15,0,7,LaDainian Tomlinson middle for no gain (tackle by Keyunta Dawson),4.580,3.950
1,7:29,2,10,IND 15,0,7,Philip Rivers pass incomplete short right intended for Antonio Gates,3.950,3.100
1,7:22,3,10,IND 15,0,7,Philip Rivers pass incomplete short middle intended for Antonio Gates (defended by Gary Brackett),3.100,2.440
1,7:17,4,10,IND 15,0,10,Nate Kaeding 33 yard field goal good,2.440,3.000
1,7:17,,,SDG 30,0,10,"Nate Kaeding kicks off 64 yards, returned by Craphonso Thorpe for 9 yards (tackle by Brandon Siler). Penalty on Melvin Bullitt: Offensive Holding, 7 yards",0.000,-0.380
1,7:10,1,10,IND 8,0,10,Peyton Manning pass incomplete short left intended for Bryan Fletcher,-0.380,-0.780
1,7:07,2,10,IND 8,0,10,Joseph Addai right tackle for 2 yards (tackle by Clinton Hart and Jamal Williams),-0.780,-1.190
1,6:29,3,8,IND 10,0,10,"Penalty on Bryan Fletcher: False Start, 5 yards (no play)",-1.190,-1.770
1,6:11,3,13,IND 5,0,10,Peyton Manning pass incomplete short left intended for Ben Utecht,-1.770,-2.490
1,6:07,4,13,IND 5,0,16,"Hunter Smith punts 40 yards, returned by Darren Sproles for 45 yards, touchdown",-2.490,-7.000
1,5:55,,,,0,16,"Two Point Attempt: Mike Scifres pass incomplete intended for Matt Wilhelm, conversion fails",1.000,-1.000
1,5:55,,,SDG 30,0,16,"Nate Kaeding kicks off 57 yards, returned by Craphonso Thorpe for 11 yards (tackle by Marques Harris)",0.000,0.540
1,5:51,1,10,IND 24,0,16,Peyton Manning pass complete short left to Joseph Addai for 5 yards (tackle by Matt Wilhelm),0.540,0.670
1,5:22,2,5,IND 29,0,16,Joseph Addai left end for 1 yard (tackle by Matt Wilhelm),0.670,0.100
1,4:48,3,4,IND 30,0,16,Peyton Manning pass complete short right to Bryan Fletcher for 6 yards (tackle by Antonio Cromartie and Drayton Florence),0.100,1.330
1,4:27,1,10,IND 36,0,16,Peyton Manning pass incomplete short right intended for Aaron Moorehead (defended by Drayton Florence),1.330,0.790
1,4:22,2,10,IND 36,0,16,Peyton Manning pass complete short middle to Bryan Fletcher for 5 yards (tackle by Clinton Hart and Matt Wilhelm),0.790,0.760
1,3:46,3,5,IND 41,0,16,Peyton Manning pass complete short middle to Bryan Fletcher for 7 yards (tackle by Matt Wilhelm),0.760,2.130
1,3:13,1,10,IND 48,0,16,Peyton Manning sacked by Marques Harris for -13 yards,2.130,-0.170
1,2:42,2,23,IND 35,0,16,Peyton Manning pass complete short left to Reggie Wayne for -2 yards (tackle by Eric Weddle),-0.170,-1.090
1,2:16,3,25,IND 33,0,16,Peyton Manning pass incomplete deep left intended for Reggie Wayne is intercepted by Antonio Cromartie at SDG-43 and returned for 21 yards,-1.090,-3.180
1,2:07,1,10,IND 36,0,16,LaDainian Tomlinson right end for 6 yards (tackle by Quinn Pitcock),3.180,3.450
1,1:27,2,4,IND 30,0,16,Philip Rivers pass complete short middle to Antonio Gates for 5 yards (tackle by Gary Brackett),3.450,3.910
1,0:51,1,10,IND 25,0,16,LaDainian Tomlinson right end for 2 yards (tackle by Gary Brackett),3.910,3.630
1,0:08,2,8,IND 23,0,16,Philip Rivers pass incomplete deep middle intended for Vincent Jackson is intercepted by Clint Session at IND--4,3.630,-0.280
,,,,,,,"SDG challenged the pass completion ruling, and the play was upheld.",,
1,0:02,1,10,IND 20,0,16,Joseph Addai left end for 2 yards (tackle by Jamal Williams),0.280,0.000
Quarter,Time,Down,ToGo,Location,IND,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,IND 22,0,16,"Penalty on Ryan Diem: False Start, 5 yards (no play)",0.000,-0.790
2,15:00,2,13,IND 17,0,16,Peyton Manning pass complete short right to Reggie Wayne for 10 yards (tackle by Stephen Cooper and Eric Weddle),-0.790,-0.030
2,14:24,3,3,IND 27,0,16,Peyton Manning pass incomplete deep left intended for Reggie Wayne is intercepted by Antonio Cromartie at IND-45,-0.030,-2.590
2,14:18,1,10,IND 45,0,16,LaDainian Tomlinson middle for -1 yards (tackle by Gary Brackett),2.590,1.910
2,13:40,2,11,IND 46,0,16,LaDainian Tomlinson middle for 2 yards (tackle by Edward Johnson and Rocky Boiman),1.910,1.490
2,13:00,3,9,IND 44,0,16,Philip Rivers pass complete short right to LaDainian Tomlinson for 7 yards (tackle by Dante Hughes and Bob Sanders),1.490,0.790
2,12:54,4,2,IND 37,0,16,Philip Rivers pass complete short right to Legedu Naanee for 3 yards (tackle by Kelvin Hayden),0.790,3.310
2,12:14,1,10,IND 34,0,16,"Philip Rivers for no gain. Philip Rivers fumbles, recovered by Philip Rivers at IND-35",3.310,2.640
2,11:45,2,11,IND 35,0,16,Philip Rivers pass complete short left to LaDainian Tomlinson for 1 yard (tackle by Marlin Jackson),2.640,2.080
2,11:28,3,10,IND 34,0,16,Philip Rivers pass complete deep middle to Vincent Jackson for 19 yards (tackle by Tim Jennings),2.080,4.580
2,10:43,1,10,IND 15,0,16,Philip Rivers pass incomplete short right intended for Lorenzo Neal,4.580,3.950
2,10:38,2,10,IND 15,0,16,LaDainian Tomlinson middle for 3 yards (tackle by Marlin Jackson and Rocky Boiman),3.950,3.580
2,9:58,3,7,IND 12,0,16,Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Gary Brackett),3.580,6.060
