Unnamed: 0,IND,SDG
First Downs,25,11
Rush-Yds-TDs,26-75-0,24-91-1
Cmp-Att-Yd-TD-INT,34-56-328-2-6,13-24-104-0-2
Sacked-Yards,2-17,2-18
Net Pass Yards,311,86
Total Yards,386,177
Fumbles-Lost,0-0,2-1
Turnovers,6,3
Penalties-Yards,4-21,10-78
Third Down Conv.,10-19,3-11
Fourth Down Conv.,1-1,1-1
Time of Possession,36:12,23:48
