Unnamed: 0,PIT,CIN
First Downs,21,10
Rush-Yds-TDs,40-151-0,16-62-0
Cmp-Att-Yd-TD-INT,15-21-138-1-0,13-25-165-2-1
Sacked-Yards,7-54,3-18
Net Pass Yards,84,147
Total Yards,235,209
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,8-56,10-97
Third Down Conv.,8-18,2-10
Fourth Down Conv.,0-0,0-0
Time of Possession,38:56,21:04
