Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 59 yards, returned by Kenny Watson for 15 yards (tackle by Brett Keisel)",0.000,0.670
1,14:54,1,10,CIN 26,0,0,Rudi Johnson left end for 15 yards (tackle by Chris Hope),0.670,1.660
1,14:34,1,10,CIN 41,0,0,Carson Palmer pass incomplete intended for T.J. Houshmandzadeh (defended by James Farrior),1.660,1.120
1,14:28,2,10,CIN 41,0,0,Rudi Johnson right guard for 1 yard (tackle by Aaron Smith),1.120,0.560
1,13:49,3,9,CIN 42,0,0,Carson Palmer pass incomplete intended for Chad Ochocinco,0.560,-0.590
1,13:43,4,9,CIN 42,0,0,"Kyle Larson punts 49 yards, returned by Antwaan Randle El for 28 yards (tackle by Kenny Watson)",-0.590,-1.400
1,13:30,1,10,PIT 37,0,0,Ben Roethlisberger pass complete to Plaxico Burress for 21 yards (tackle by Tory James),1.400,2.790
1,12:48,1,10,CIN 42,0,0,Jerome Bettis right tackle for 3 yards (tackle by Rogers Beckett and Landon Johnson),2.790,2.650
1,12:12,2,7,CIN 39,0,0,Jerome Bettis left guard for 11 yards (tackle by Brian Simmons and Rogers Beckett),2.650,3.710
1,11:33,1,10,CIN 28,0,0,Ben Roethlisberger pass complete to Dan Kreider for 4 yards (tackle by Keiwan Ratliff),3.710,3.710
1,10:57,2,6,CIN 24,0,0,Jerome Bettis right tackle for 1 yard (tackle by Brian Simmons),3.710,3.140
1,10:17,3,5,CIN 23,0,0,Ben Roethlisberger pass complete to Lee Mays for 9 yards (tackle by Terrell Roberts),3.140,4.650
1,9:46,1,10,CIN 14,0,0,"Penalty on Dan Kreider: False Start, 5 yards (no play)",4.650,4.260
1,9:27,1,15,CIN 19,0,0,Jerome Bettis up the middle for -1 yards (tackle by Madieu Williams and Duane Clemons),4.260,3.280
1,8:47,2,16,CIN 20,0,0,Ben Roethlisberger sacked by Justin Smith and Duane Clemons for -7 yards,3.280,1.690
1,8:10,3,23,CIN 27,0,0,Ben Roethlisberger sacked by Duane Clemons for -10 yards,1.690,0.790
1,7:27,4,33,CIN 37,0,0,Penalty on Chris Gardocki: Delay of Game (Declined),0.790,0.790
1,7:15,4,33,CIN 37,0,0,"Chris Gardocki punts 31 yards, fair catch by Keiwan Ratliff",0.790,0.380
1,7:07,1,10,CIN 6,0,0,Carson Palmer pass complete to Rudi Johnson for 1 yard (tackle by James Farrior),-0.380,-0.710
1,6:29,2,9,CIN 7,0,0,Rudi Johnson up the middle for 1 yard (tackle by Troy Polamalu),-0.710,-1.190
1,5:48,3,8,CIN 8,0,0,Carson Palmer pass incomplete intended for T.J. Houshmandzadeh. Penalty on Levi Jones: Offensive Holding (Declined),-1.190,-2.490
1,5:42,4,8,CIN 8,0,0,"Kyle Larson punts 39 yards, returned by Antwaan Randle El for 30 yards (tackle by Anthony Mitchell)",-2.490,-4.440
1,5:30,1,10,CIN 17,0,0,Jerome Bettis left tackle for 5 yards (tackle by Rogers Beckett),4.440,4.690
1,4:54,2,5,CIN 12,0,0,"Ben Roethlisberger pass incomplete. Penalty on Ben Roethlisberger: Intentional Grounding, 10 yards",4.690,2.540
1,4:47,3,15,CIN 22,0,0,Ben Roethlisberger pass complete to Plaxico Burress for 8 yards (tackle by Terrell Roberts),2.540,2.510
1,4:01,4,7,CIN 14,3,0,Jeff Reed 32 yard field goal good,2.510,3.000
1,,,,PIT 30,3,0,"Jeff Reed kicks off 60 yards, returned by Cliff Russell for 25 yards (tackle by Ricardo Colclough). Cliff Russell fumbles (forced by Ricardo Colclough), recovered by Larry Stevens at CIN-33",0.000,1.140
1,3:47,1,10,CIN 33,3,0,Rudi Johnson right guard for 9 yards (tackle by Troy Polamalu and Chris Hope),1.140,1.810
1,3:15,2,1,CIN 42,3,0,Rudi Johnson right end for 4 yards (tackle by Willie J. Williams),1.810,1.990
1,2:39,1,10,CIN 46,3,0,Rudi Johnson left tackle for 2 yards (tackle by Deshea Townsend),1.990,1.720
1,2:08,2,8,CIN 48,3,0,Carson Palmer pass complete to Kelley Washington for 7 yards (tackle by Willie J. Williams),1.720,1.950
1,1:36,3,1,PIT 45,3,0,Carson Palmer pass complete to Jeremi Johnson for 9 yards (tackle by Willie J. Williams),1.950,3.180
1,1:14,1,10,PIT 36,3,6,"Carson Palmer pass complete to Chad Ochocinco for 36 yards, touchdown",3.180,7.000
1,,,,PIT 2,3,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,3,7,"Shayne Graham kicks off 66 yards, returned by Ricardo Colclough for 21 yards (tackle by Marcus Wilkins)",0.000,0.610
1,1:00,1,10,PIT 25,3,7,Jerome Bettis up the middle for 5 yards (tackle by Langston Moore),0.610,0.740
1,0:24,2,5,PIT 30,3,7,Ben Roethlisberger pass complete to Hines Ward for 4 yards (tackle by Keiwan Ratliff),0.740,0.560
Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,PIT 34,3,7,Ben Roethlisberger up the middle for 3 yards (tackle by Landon Johnson and Brian Simmons),0.560,1.400
2,14:24,1,10,PIT 37,3,7,Ben Roethlisberger pass complete to Hines Ward for 5 yards (tackle by Landon Johnson),1.400,1.530
2,13:48,2,5,PIT 42,3,7,Jerome Bettis left end for 4 yards (tackle by Rogers Beckett),1.530,1.360
2,13:21,3,1,PIT 46,3,7,Ben Roethlisberger up the middle for 3 yards (tackle by Justin Smith),1.360,2.190
2,12:40,1,10,PIT 49,3,7,Ben Roethlisberger pass complete to Plaxico Burress for 17 yards (tackle by Keiwan Ratliff),2.190,3.310
2,12:13,1,10,CIN 34,3,7,Ben Roethlisberger pass incomplete intended for Jerame Tuman,3.310,2.770
2,12:06,2,10,CIN 34,3,7,Jerome Bettis left tackle for 8 yards (tackle by Madieu Williams),2.770,3.140
2,11:25,3,2,CIN 26,3,7,Verron Haynes right tackle for 3 yards (tackle by John Thornton),3.140,4.040
2,10:47,1,10,CIN 23,3,7,Jerome Bettis left tackle for 5 yards (tackle by Landon Johnson),4.040,4.210
2,10:08,2,5,CIN 18,3,7,Jerome Bettis right tackle for -2 yards (tackle by Justin Smith),4.210,3.200
2,9:33,,,,3,7,Timeout #1 by Cincinnati Bengals,0.000,3.200
2,9:33,3,7,CIN 20,3,7,"Ben Roethlisberger pass complete to Antwaan Randle El for 20 yards. Penalty on Oliver Ross: Offensive Holding, 10 yards (no play)",3.200,1.880
