Quarter,Time,Tm,Detail,PIT,CIN
1.0,3:56,Steelers,Jeff Reed 32 yard field goal,3,0
,1:05,Bengals,Chad Johnson 36 yard pass from Carson Palmer (Shayne Graham kick),3,7
2.0,7:03,Steelers,James Farrior 14 yard interception return (Jeff Reed kick),10,7
,3:56,Bengals,Kelley Washington 19 yard pass from Carson Palmer (Shayne Graham kick),10,14
3.0,2:46,Steelers,Dan Kreider 8 yard pass from Ben Roethlisberger (Jeff Reed kick),17,14
4.0,2:38,Steelers,"Safety,",19,14
