Quarter,Time,Tm,Detail,ARI,LAC
1.0,10:20,Cardinals,Larry Fitzgerald 25 yard pass from Josh Rosen (Phil Dawson kick),7,0
,4:22,Cardinals,Phil Dawson 30 yard field goal,10,0
2.0,14:12,Chargers,Mike Williams 9 yard pass from Philip Rivers (Michael Badgley kick),10,7
,6:59,Chargers,Melvin Gordon 28 yard rush (Michael Badgley kick),10,14
,4:16,Chargers,Melvin Gordon 5 yard rush (Michael Badgley kick),10,21
,0:08,Chargers,Mike Williams 2 yard pass from Philip Rivers (Michael Badgley kick),10,28
3.0,8:01,Chargers,Keenan Allen 4 yard pass from Philip Rivers (Michael Badgley kick),10,35
,0:00,Chargers,Austin Ekeler 2 yard rush (Michael Badgley kick),10,42
4.0,3:25,Chargers,Michael Badgley 31 yard field goal,10,45
