Quarter,Time,Down,ToGo,Location,ARI,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Michael Badgley kicks off 66 yards, returned by T.J. Logan for no gain (tackle by Tre'von Johnson)",0.000,0.540
1,14:54,1,10,ARI 24,0,0,David Johnson up the middle for 3 yards (tackle by Derwin James and Darius Philon),0.540,0.400
1,14:16,2,7,ARI 27,0,0,David Johnson up the middle for 4 yards (tackle by Damion Square),0.400,0.230
1,13:36,3,3,ARI 31,0,0,Josh Rosen pass complete short left to Ricky Seals-Jones for 5 yards (tackle by Jatavis Brown). Penalty on Melvin Ingram: Defensive Offside (Declined),0.230,1.330
1,13:18,1,10,ARI 36,0,0,Josh Rosen pass complete deep right to Christian Kirk for 17 yards (tackle by Derwin James),1.330,2.460
1,12:31,1,10,LAC 47,0,0,David Johnson right guard for 11 yards (tackle by Adrian Phillips),2.460,3.180
1,11:52,1,10,LAC 36,0,0,Josh Rosen pass complete short right to Christian Kirk for 9 yards (tackle by Casey Hayward). Penalty on Damion Square: Defensive Offside (Declined),3.180,3.850
1,11:27,2,1,LAC 27,0,0,Chase Edmonds up the middle for no gain (tackle by Casey Hayward),3.850,3.140
1,10:47,3,1,LAC 27,0,0,David Johnson up the middle for 2 yards (tackle by Uchenna Nwosu),3.140,3.910
1,10:27,1,10,LAC 25,6,0,"Josh Rosen pass complete deep middle to Larry Fitzgerald for 25 yards, touchdown",3.910,7.000
1,10:20,,,LAC 15,7,0,Phil Dawson kicks extra point good,0.000,0.000
1,10:20,,,ARI 35,7,0,"Phil Dawson kicks off 66 yards, returned by Desmond King for no gain (tackle by Zeke Turner)",0.000,0.670
1,10:14,1,10,LAC 26,7,0,Philip Rivers pass complete short right to Melvin Gordon for no gain (tackle by Leonard Johnson and Josh Bynes),0.670,0.130
1,9:36,2,10,LAC 26,7,0,Melvin Gordon right tackle for 1 yard (tackle by Haason Reddick and Josh Bynes),0.130,-0.430
1,8:55,3,9,LAC 27,7,0,Philip Rivers sacked by Chandler Jones and Robert Nkemdiche for -10 yards,-0.430,-2.320
1,8:24,4,19,LAC 17,7,0,"Donnie Jones punts 53 yards, returned by Christian Kirk for 26 yards (tackle by Uchenna Nwosu)",-2.320,-2.650
1,8:09,1,10,LAC 44,7,0,David Johnson up the middle for 3 yards (tackle by Adrian Phillips),2.650,2.520
1,7:31,2,7,LAC 41,7,0,Josh Rosen pass complete short right to Christian Kirk for 6 yards (tackle by Jatavis Brown),2.520,2.610
1,6:49,,,,,,Timeout #1 by Arizona Cardinals,,
1,6:49,3,1,LAC 35,7,0,David Johnson up the middle for 1 yard (tackle by Joey Bosa and Derwin James),2.610,3.310
1,6:09,1,10,LAC 34,7,0,Josh Rosen pass complete short left to David Johnson for 17 yards (tackle by Jahleel Addae),3.310,4.440
1,5:20,1,10,LAC 17,7,0,Josh Rosen pass incomplete deep left intended for Derrick Coleman (defended by Uchenna Nwosu),4.440,3.850
1,5:15,2,10,LAC 17,7,0,David Johnson left tackle for 5 yards (tackle by Derwin James),3.850,3.880
1,4:31,3,5,LAC 12,7,0,Josh Rosen pass incomplete short left intended for Ricky Seals-Jones (defended by Derwin James),3.880,2.680
1,4:26,4,5,LAC 12,10,0,Phil Dawson 30 yard field goal good,2.680,3.000
1,4:22,,,ARI 35,10,0,"Phil Dawson kicks off 63 yards, returned by Desmond King for no gain (tackle by Zeke Turner)",0.000,1.730
1,4:15,1,10,LAC 42,10,0,Philip Rivers pass complete deep right to Travis Benjamin for 27 yards,1.730,3.510
1,3:52,1,10,ARI 31,10,0,Austin Ekeler up the middle for 4 yards (tackle by Markus Golden),3.510,3.510
1,3:18,2,6,ARI 27,10,0,Philip Rivers pass complete short right to Keenan Allen for 9 yards (tackle by Leonard Johnson),3.510,4.370
1,2:35,1,10,ARI 18,10,0,"Melvin Gordon up the middle for no gain (tackle by Haason Reddick and Antoine Bethea). Penalty on Markus Golden: Defensive Offside, 5 yards (no play)",4.370,5.410
1,1:58,1,5,ARI 13,10,0,Philip Rivers pass complete short left to Keenan Allen for 4 yards (tackle by Patrick Peterson),5.410,5.420
1,1:16,2,1,ARI 9,10,0,Melvin Gordon up the middle for 6 yards (tackle by Tre Boston). Penalty on Markus Golden: Defensive Offside (Declined),5.420,6.510
1,0:49,1,3,ARI 3,10,0,"Melvin Gordon right tackle for no gain (tackle by Patrick Peterson and Rodney Gunter). Penalty on Antonio Gates: Offensive Holding, 10 yards (no play)",6.510,4.530
1,0:25,1,13,ARI 13,10,0,Philip Rivers sacked by Robert Nkemdiche for -1 yards,4.530,3.580
Quarter,Time,Down,ToGo,Location,ARI,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,ARI 14,10,0,Philip Rivers pass complete short right to Melvin Gordon for 5 yards (tackle by Robert Nkemdiche),3.580,3.360
2,14:18,3,9,ARI 9,10,6,"Philip Rivers pass complete short left to Mike Williams for 9 yards, touchdown",3.360,7.000
2,14:12,,,ARI 15,10,7,Michael Badgley kicks extra point good,0.000,0.000
2,14:12,,,LAC 35,10,7,"Michael Badgley kicks off 64 yards, returned by T.J. Logan for no gain (tackle by Michael Davis)",0.000,1.200
2,14:05,1,10,ARI 34,10,7,"Josh Rosen aborted snap, recovered by Josh Rosen at ARI-34",1.200,0.660
2,13:27,2,10,ARI 34,10,7,Chase Edmonds up the middle for 1 yard (tackle by T.Y. McGill and Isaac Rochell),0.660,0.100
2,12:43,3,9,ARI 35,10,7,Josh Rosen sacked by Joey Bosa for -11 yards,0.100,-1.770
2,12:07,4,20,ARI 24,10,7,"Andy Lee punts 60 yards, returned by Desmond King for 23 yards (tackle by Chase Edmonds)",-1.770,-1.530
2,11:55,1,10,LAC 39,10,7,Melvin Gordon right tackle for 1 yard (tackle by Josh Bynes),1.530,1.120
2,11:17,2,9,LAC 40,10,7,"Philip Rivers sacked by Rodney Gunter for -5 yards. Philip Rivers fumbles (forced by Rodney Gunter), recovered by Benson Mayowa at LAC-35 (tackle by Sam Tevi)",1.120,-3.250
2,11:10,1,10,LAC 35,10,7,David Johnson up the middle for 1 yard (tackle by Darius Philon and Joey Bosa),3.250,2.840
2,10:29,2,9,LAC 34,10,7,Josh Rosen pass complete short right to Trent Sherfield for 6 yards (tackle by Michael Davis),2.840,2.940
2,9:48,3,3,LAC 28,10,7,Josh Rosen pass incomplete short right intended for David Johnson,2.940,1.680
2,9:45,4,3,LAC 28,10,7,Phil Dawson 46 yard field goal no good,1.680,-1.330
2,9:40,1,10,LAC 36,10,7,Philip Rivers sacked by Robert Nkemdiche for -7 yards,1.330,-0.160
2,8:58,2,17,LAC 29,10,7,"Philip Rivers pass complete short middle to Antonio Gates for 18 yards (tackle by Tre Boston). Penalty on Antoine Bethea: Face Mask (15 Yards), 15 yards",-0.160,3.050
2,8:30,1,10,ARI 38,10,7,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by Chandler Jones),3.050,3.780
2,7:46,1,10,ARI 27,10,7,Melvin Gordon right end for -1 yards (tackle by Robert Nkemdiche),3.780,3.100
2,7:05,2,11,ARI 28,10,13,"Melvin Gordon right end for 28 yards, touchdown",3.100,7.000
2,6:59,,,ARI 15,10,14,Michael Badgley kicks extra point good,0.000,0.000
2,6:59,,,LAC 35,10,14,"Michael Badgley kicks off 65 yards, touchback.",0.000,0.610
2,6:59,1,10,ARI 25,10,14,Josh Rosen pass short left intended for Christian Kirk is intercepted by Derwin James at ARI-34 and returned for 3 yards,0.610,-3.510
2,6:51,1,10,ARI 31,10,14,Austin Ekeler left end for 7 yards (tackle by Chandler Jones),3.510,3.910
2,6:06,2,3,ARI 24,10,14,Melvin Gordon up the middle for 5 yards (tackle by Leonard Johnson),3.910,4.310
2,5:26,1,10,ARI 19,10,14,"Austin Ekeler right end for no gain (tackle by Haason Reddick and Josh Bynes). Penalty on Mike Pouncey: Offensive Holding, 10 yards (no play)",4.310,3.640
2,5:07,1,20,ARI 29,10,14,Philip Rivers pass complete deep left to Sean Culkin for 24 yards (tackle by Antoine Bethea and Leonard Johnson),3.640,6.060
2,4:21,1,5,ARI 5,10,20,"Melvin Gordon up the middle for 5 yards, touchdown",6.060,7.000
2,4:16,,,ARI 15,10,21,Michael Badgley kicks extra point good,0.000,0.000
2,4:16,,,LAC 35,10,21,"Michael Badgley kicks off 65 yards, touchback.",0.000,0.610
2,4:16,1,10,ARI 25,10,21,David Johnson right tackle for 12 yards (tackle by Joey Bosa),0.610,1.400
2,3:37,1,10,ARI 37,10,21,Josh Rosen pass complete short left to Christian Kirk for 9 yards (tackle by Jatavis Brown),1.400,2.070
2,3:02,2,1,ARI 46,10,21,"David Johnson left tackle for no gain (tackle by Melvin Ingram). Penalty on Melvin Ingram: Defensive Offside, 5 yards (no play)",2.070,2.320
2,2:44,1,10,LAC 49,10,21,Josh Rosen pass incomplete deep left intended for Christian Kirk,2.320,1.780
2,2:38,2,10,LAC 49,10,21,"Josh Rosen pass incomplete short left intended for Chase Edmonds (defended by Melvin Ingram). Penalty on Joey Bosa: Defensive Offside, 5 yards (no play)",1.780,2.460
2,2:35,2,5,LAC 44,10,21,Josh Rosen pass complete short right to David Johnson for -1 yards (tackle by Jatavis Brown),2.460,1.620
2,2:00,3,6,LAC 45,10,21,Josh Rosen pass incomplete deep right,1.620,0.270
2,1:53,4,6,LAC 45,10,21,"Andy Lee punts 45 yards, touchback.",0.270,-0.280
2,1:45,1,10,LAC 20,10,21,Philip Rivers pass complete short right to Keenan Allen for 8 yards (tackle by Gerald Hodges),0.280,0.810
2,1:26,2,2,LAC 28,10,21,Philip Rivers pass complete short middle to Austin Ekeler for 9 yards (tackle by Gerald Hodges and Haason Reddick),0.810,1.400
2,1:06,1,10,LAC 37,10,21,Philip Rivers pass complete short middle to Austin Ekeler for 8 yards (tackle by Gerald Hodges),1.400,1.940
2,1:00,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:00,2,2,LAC 45,10,21,Philip Rivers pass complete short right to Austin Ekeler for 11 yards (tackle by Gerald Hodges),1.940,2.650
2,0:52,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:52,1,10,ARI 44,10,21,Philip Rivers pass complete short left to Mike Williams for 4 yards (tackle by Leonard Johnson),2.650,2.650
2,0:34,2,6,ARI 40,10,21,Philip Rivers pass complete short left to Mike Williams for 10 yards (tackle by Leonard Johnson),2.650,3.580
2,0:29,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:29,1,10,ARI 30,10,21,Philip Rivers pass complete short left to Austin Ekeler for 3 yards (tackle by Haason Reddick),3.580,3.440
2,0:24,2,7,ARI 27,10,21,Philip Rivers pass complete short left to Austin Ekeler for 5 yards (tackle by Haason Reddick),3.440,3.400
2,0:19,3,2,ARI 22,10,21,Philip Rivers pass complete deep left to Keenan Allen for 20 yards,3.400,6.740
2,0:13,1,2,ARI 2,10,27,"Philip Rivers pass complete short left to Mike Williams for 2 yards, touchdown",6.740,7.000
2,0:08,,,ARI 15,10,28,Michael Badgley kicks extra point good,0.000,0.000
2,0:08,,,LAC 35,10,28,"Michael Badgley kicks off 44 yards, returned by Chase Edmonds for no gain (tackle by Justin Jackson and Tre'von Johnson)",0.000,1.200
2,0:02,1,10,ARI 34,10,28,Josh Rosen kneels for -1 yards,1.200,0.520
Quarter,Time,Down,ToGo,Location,ARI,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,10,28,"Phil Dawson kicks off 62 yards, returned by Desmond King for no gain (tackle by Derrick Coleman and Zeke Turner)",0.000,0.480
3,14:53,1,10,LAC 23,10,28,Melvin Gordon right tackle for 5 yards (tackle by Rodney Gunter and Patrick Peterson),0.480,0.610
3,14:08,2,5,LAC 28,10,28,Philip Rivers pass complete short middle to Keenan Allen for 16 yards,0.610,1.860
3,13:30,1,10,LAC 44,10,28,Melvin Gordon up the middle for 7 yards (tackle by Antoine Bethea and Haason Reddick),1.860,2.260
3,12:50,2,3,ARI 49,10,28,Melvin Gordon up the middle for 4 yards (tackle by Robert Nkemdiche),2.260,2.590
3,12:12,1,10,ARI 45,10,28,"Philip Rivers pass complete short right to Austin Ekeler for -10 yards, lateral to Robert Nkemdiche for no gain, lateral to Melvin Gordon for no gain",2.590,0.690
3,11:47,2,20,LAC 45,10,28,Philip Rivers pass complete short middle to Austin Ekeler for 14 yards,0.690,1.880
3,11:03,3,6,ARI 41,10,28,Philip Rivers pass complete short middle to Austin Ekeler for 8 yards (tackle by Gerald Hodges),1.880,3.380
3,10:20,1,10,ARI 33,10,28,Justin Jackson left end for 19 yards (tackle by Antoine Bethea),3.380,4.650
3,9:35,1,10,ARI 14,10,28,Justin Jackson right end for 5 yards (tackle by Gerald Hodges),4.650,4.900
3,8:52,2,5,ARI 9,10,28,Philip Rivers pass complete short left to Travis Benjamin for 5 yards (tackle by Tre Boston),4.900,6.280
3,8:09,,,,,,Timeout #1 by Los Angeles Chargers,,
3,8:09,1,4,ARI 4,10,34,"Philip Rivers pass complete short right to Keenan Allen for 4 yards, touchdown",6.280,7.000
