Unnamed: 0,ARI,LAC
First Downs,10,30
Rush-Yds-TDs,24-62-0,30-178-3
Cmp-Att-Yd-TD-INT,12-19-105-1-1,28-32-259-3-0
Sacked-Yards,2-18,4-23
Net Pass Yards,87,236
Total Yards,149,414
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,3-35,4-30
Third Down Conv.,4-12,3-7
Fourth Down Conv.,0-1,1-1
Time of Possession,24:42,35:18
