Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 54 yards, returned by Kevin Ogletree for 12 yards (tackle by Tyrell Johnson)",0.000,0.810
1,14:57,1,10,DAL 28,0,0,Tony Romo pass complete short left to Miles Austin for 6 yards (tackle by Cedric Griffin),0.810,1.070
1,14:21,2,4,DAL 34,0,0,Felix Jones left end for 3 yards (tackle by Cedric Griffin),1.070,0.760
1,13:55,3,1,DAL 37,0,0,Miles Austin left end for 8 yards (tackle by Cedric Griffin),0.760,1.930
1,13:09,1,10,DAL 45,0,0,Tony Romo pass incomplete short right intended for Roy Williams,1.930,1.380
1,13:02,2,10,DAL 45,0,0,Tony Romo pass complete short right to Miles Austin for 8 yards (tackle by Benny Sapp),1.380,1.750
1,12:17,3,2,MIN 47,0,0,Tony Romo pass complete short right to Patrick Crayton for 13 yards (tackle by Cedric Griffin),1.750,3.310
1,11:48,1,10,MIN 34,0,0,Tony Romo pass incomplete short left intended for Deon Anderson,3.310,2.770
1,11:41,2,10,MIN 34,0,0,Felix Jones middle for -4 yards (tackle by Ray Edwards),2.770,1.550
1,10:59,3,14,MIN 38,0,0,"Tony Romo sacked by Ray Edwards for -1 yards. Tony Romo fumbles (forced by Ray Edwards), recovered by Kevin Williams at MIN-35 (tackle by Kyle Kosier)",1.550,-1.270
1,10:50,1,10,MIN 35,0,0,Brett Favre pass incomplete short middle intended for Adrian Peterson (defended by Keith Brooking),1.270,0.720
1,10:46,2,10,MIN 35,0,0,Adrian Peterson right tackle for 3 yards (tackle by Stephen Bowen and Jay Ratliff),0.720,0.430
1,10:03,3,7,MIN 38,0,0,Brett Favre sacked by DeMarcus Ware for -9 yards,0.430,-1.440
1,9:47,4,16,MIN 29,0,0,"Chris Kluwe punts 38 yards, fair catch by Patrick Crayton",-1.440,-1.140
1,9:39,1,10,DAL 33,0,0,Felix Jones left end for 8 yards (tackle by Chad Greenway),1.140,1.670
1,9:03,2,2,DAL 41,0,0,Felix Jones right guard for 9 yards (tackle by Kevin Williams),1.670,2.260
1,8:19,1,10,,0,0,Tony Romo pass complete short left to Felix Jones for 11 yards (tackle by Jasper Brinkley),2.260,2.980
1,7:50,1,10,MIN 39,0,0,Marion Barber middle for 4 yards (tackle by Jasper Brinkley and Ben Leber),2.980,2.980
1,7:13,2,6,MIN 35,0,0,"Tony Romo for no gain. Tony Romo fumbles, recovered by Tony Romo at MIN-38",2.980,1.880
1,6:36,3,9,MIN 38,0,0,Tony Romo pass complete short left to Miles Austin for 8 yards (tackle by Jasper Brinkley and Madieu Williams),1.880,1.520
1,5:53,4,1,MIN 30,0,0,Shaun Suisham 48 yard field goal no good,1.520,-1.530
1,5:48,1,10,MIN 39,0,0,Adrian Peterson middle for 1 yard (tackle by DeMarcus Ware),1.530,1.120
1,5:09,2,9,MIN 40,0,0,Brett Favre pass complete short left to Sidney Rice for 9 yards (tackle by Terence Newman),1.120,2.190
1,4:41,1,10,MIN 49,0,0,Adrian Peterson middle for 4 yards (tackle by Jay Ratliff and Bradie James),2.190,2.190
1,4:12,2,6,DAL 47,0,6,"Brett Favre pass complete deep right to Sidney Rice for 47 yards, touchdown",2.190,7.000
1,,,,DAL 2,0,7,Ryan Longwell kicks extra point good,0.000,0.000
1,,,,MIN 30,0,7,"Ryan Longwell kicks off 69 yards, returned by Kevin Ogletree for 17 yards (tackle by Jamarca Sanford)",0.000,0.040
1,3:59,1,10,DAL 18,0,7,Tony Romo pass complete short left to Jason Witten for 14 yards (tackle by Jasper Brinkley),0.040,1.070
1,3:26,1,10,DAL 32,0,7,Marion Barber left tackle for 6 yards (tackle by Cedric Griffin),1.070,1.340
1,2:41,2,4,DAL 38,0,7,Tony Romo pass complete short middle to Martellus Bennett for 7 yards (tackle by Ben Leber and Chad Greenway),1.340,1.930
1,2:05,1,10,DAL 45,0,7,Tony Romo pass incomplete short left intended for Martellus Bennett (defended by Ben Leber),1.930,1.380
1,1:57,2,10,DAL 45,0,7,Marion Barber right end for no gain (tackle by Benny Sapp),1.380,0.700
1,1:15,3,10,DAL 45,0,7,Tony Romo pass complete short left to Jason Witten for 12 yards (tackle by Ben Leber),0.700,2.720
1,0:33,1,10,MIN 43,0,7,Felix Jones left end for 5 yards (tackle by Cedric Griffin and Madieu Williams),2.720,2.850
Quarter,Time,Down,ToGo,Location,DAL,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,MIN 38,0,7,Tony Romo pass complete short left to Miles Austin for 12 yards (tackle by Cedric Griffin),2.850,3.840
2,14:21,1,10,MIN 26,0,7,Tony Romo pass complete deep right to Martellus Bennett for 17 yards (tackle by Madieu Williams),3.840,5.140
2,13:37,1,9,MIN 9,0,7,Tashard Choice middle for 1 yard (tackle by Kevin Williams),5.140,4.570
2,12:54,2,8,MIN 8,0,7,Tony Romo sacked by Ray Edwards for -7 yards,4.570,2.930
2,12:19,3,15,MIN 15,0,7,Tony Romo pass incomplete short left intended for Miles Austin,2.930,2.440
2,12:14,4,15,MIN 15,3,7,Shaun Suisham 33 yard field goal good,2.440,3.000
2,,,,DAL 30,3,7,"David Buehler kicks off 79 yards, touchback",0.000,0.280
2,12:11,1,10,MIN 20,3,7,Brett Favre pass complete short middle to Jim Kleinsasser for 14 yards (tackle by Keith Brooking),0.280,1.200
2,11:29,1,10,MIN 34,3,7,Adrian Peterson right guard for 4 yards (tackle by Anthony Spencer),1.200,1.200
2,10:49,2,6,MIN 38,3,7,Percy Harvin right guard for 3 yards (tackle by Keith Brooking and Bradie James),1.200,0.890
2,10:09,3,3,MIN 41,3,7,Brett Favre pass complete short right to Adrian Peterson for 19 yards (tackle by Terence Newman). Penalty on Keith Brooking: Defensive Offside (Declined),0.890,2.920
2,9:49,1,10,DAL 40,3,7,Brett Favre pass incomplete short left intended for Bernard Berrian (defended by Mike Jenkins),2.920,2.370
2,9:46,2,10,DAL 40,3,7,Chester Taylor left guard for 4 yards (tackle by Gerald Sensabaugh),2.370,2.210
2,9:04,3,6,DAL 36,3,7,Brett Favre pass complete short right to Chester Taylor for 9 yards (tackle by Keith Brooking and DeMarcus Ware),2.210,3.780
2,8:20,1,10,DAL 27,3,7,Brett Favre pass incomplete deep left intended for Bernard Berrian,3.780,3.230
2,8:14,2,10,DAL 27,3,7,Adrian Peterson middle for 11 yards (tackle by Ken Hamlin and Terence Newman),3.230,4.510
2,7:31,1,10,DAL 16,3,13,"Brett Favre pass complete short middle to Sidney Rice for 16 yards, touchdown",4.510,7.000
2,,,,DAL 2,3,14,Ryan Longwell kicks extra point good,0.000,0.000
2,,,,MIN 30,3,14,"Ryan Longwell kicks off 60 yards, returned by Patrick Crayton for 1 yard, lateral to Kevin Ogletree for 3 yards (tackle by Husain Abdullah). Penalty on Jamarca Sanford: Taunting, 15 yards",0.000,0.870
