Unnamed: 0,DAL,MIN
First Downs,16,16
Rush-Yds-TDs,25-92-0,33-109-0
Cmp-Att-Yd-TD-INT,22-35-198-0-1,15-24-234-4-0
Sacked-Yards,6-42,3-20
Net Pass Yards,156,214
Total Yards,248,323
Fumbles-Lost,4-2,0-0
Turnovers,3,0
Penalties-Yards,2-10,8-50
Third Down Conv.,3-13,4-13
Fourth Down Conv.,0-2,1-2
Time of Possession,30:34,29:26
