Unnamed: 0,CAR,ATL
First Downs,23,21
Rush-Yds-TDs,36-169-3,37-167-0
Cmp-Att-Yd-TD-INT,19-36-317-1-1,20-28-253-3-2
Sacked-Yards,1-8,2-14
Net Pass Yards,309,239
Total Yards,478,406
Fumbles-Lost,0-0,1-0
Turnovers,1,2
Penalties-Yards,9-74,7-64
Third Down Conv.,5-13,6-12
Fourth Down Conv.,1-2,0-0
Time of Possession,31:31,36:34
